Right
018_plum X=278.867 Y=13.061 Z=135.393 P=-46.025806 Y=-43.432667 R=150.524185
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=29.880703 Y=146.388306 R=143.615997
b_r_thumb1 X=265.996 Y=10.521 Z=29.606 P=47.462940 Y=162.819229 R=-175.844406
b_r_thumb2 X=268.096 Y=9.871 Z=27.211 P=31.733952 Y=158.760330 R=161.386826
b_r_thumb3 X=270.775 Y=8.830 Z=25.433 P=42.496239 Y=136.526215 R=167.163406
r_thumb_finger_tip_marker X=272.075 Y=7.480 Z=23.837 P=42.496254 Y=136.526245 R=167.163391
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=31.266344 Y=178.412796 R=97.765511
b_r_index2 X=275.034 Y=10.317 Z=29.300 P=61.849136 Y=-176.510101 R=95.275986
b_r_index3 X=276.179 Y=10.387 Z=27.157 P=61.430450 Y=-164.603302 R=101.566574
r_index_finger_tip_marker X=277.298 Y=10.704 Z=25.244 P=61.430447 Y=-164.603241 R=101.566612
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=47.164772 Y=-175.748337 R=87.710533
b_r_middle2 X=274.670 Y=12.806 Z=28.598 P=80.700211 Y=172.410950 R=73.644814
b_r_middle3 X=275.111 Y=12.747 Z=25.879 P=70.184326 Y=-175.779739 R=76.185623
r_middle_finger_tip_marker X=276.047 Y=12.873 Z=23.565 P=70.184319 Y=-175.779770 R=76.185570
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=56.054043 Y=-171.510941 R=72.407692
b_r_ring2 X=273.218 Y=14.830 Z=28.112 P=74.133766 Y=87.671715 R=-32.444592
b_r_ring3 X=273.188 Y=14.104 Z=25.556 P=67.013428 Y=91.537285 R=-29.735357
r_ring_finger_tip_marker X=273.338 Y=13.252 Z=23.276 P=67.013374 Y=91.537285 R=-29.735310
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=65.156227 Y=-172.205612 R=79.558548
b_r_pinky2 X=271.263 Y=16.443 Z=27.843 P=87.737732 Y=18.518673 R=-102.111710
b_r_pinky3 X=271.187 Y=16.417 Z=25.813 P=78.308273 Y=97.793190 R=-22.504330
r_pinky_finger_tip_marker X=271.365 Y=16.017 Z=23.662 P=78.308273 Y=97.793182 R=-22.504324
