Left
018_plum X=275.094 Y=11.073 Z=133.181 P=8.084464 Y=63.009640 R=-133.702179
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=27.916231 Y=-36.514694 R=140.994354
b_r_thumb1 X=258.423 Y=15.120 Z=29.681 P=47.974937 Y=-21.726130 R=-179.685425
b_r_thumb2 X=256.401 Y=15.926 Z=27.266 P=36.521870 Y=-5.785863 R=170.078918
b_r_thumb3 X=253.699 Y=16.200 Z=25.255 P=49.871849 Y=-22.929295 R=177.659378
r_thumb_finger_tip_marker X=252.228 Y=16.930 Z=23.420 P=49.871849 Y=-22.929279 R=177.659378
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=34.470856 Y=0.362009 R=98.402397
b_r_index2 X=249.468 Y=15.100 Z=29.122 P=68.926224 Y=8.183539 R=98.465599
b_r_index3 X=248.604 Y=14.976 Z=26.854 P=64.759712 Y=20.928486 R=106.099380
r_index_finger_tip_marker X=247.623 Y=14.601 Z=24.876 P=64.759705 Y=20.928551 R=106.099426
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=46.509682 Y=3.567981 R=87.600067
b_r_middle2 X=249.681 Y=12.754 Z=28.631 P=75.885582 Y=-3.015883 R=78.731873
b_r_middle3 X=249.010 Y=12.789 Z=25.959 P=71.466301 Y=-0.401355 R=71.718285
r_middle_finger_tip_marker X=248.123 Y=12.730 Z=23.624 P=71.466331 Y=-0.401393 R=71.718269
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=52.254341 Y=12.551000 R=74.477455
b_r_ring2 X=250.995 Y=10.499 Z=28.263 P=76.001556 Y=-43.542084 R=13.675013
b_r_ring3 X=250.529 Y=10.942 Z=25.685 P=68.106125 Y=-78.921402 R=-21.253433
r_ring_finger_tip_marker X=250.231 Y=11.730 Z=23.397 P=68.106079 Y=-78.921341 R=-21.253386
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=63.736980 Y=8.198688 R=80.106575
b_r_pinky2 X=253.059 Y=9.065 Z=27.876 P=87.243584 Y=33.504814 R=93.129814
b_r_pinky3 X=252.978 Y=9.011 Z=25.847 P=78.584793 Y=-46.459595 R=13.879756
r_pinky_finger_tip_marker X=252.561 Y=9.286 Z=23.709 P=78.584778 Y=-46.459591 R=13.879752
