Right
018_plum X=268.465 Y=8.935 Z=136.605 P=13.603558 Y=-53.481617 R=-179.410202
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=31.251678 Y=148.631378 R=145.655060
b_r_thumb1 X=266.015 Y=10.608 Z=29.555 P=56.199272 Y=168.228348 R=-170.539642
b_r_thumb2 X=267.786 Y=10.239 Z=26.853 P=42.306469 Y=171.677582 R=171.519928
b_r_thumb3 X=270.259 Y=9.877 Z=24.579 P=55.731945 Y=153.115936 R=176.806824
r_thumb_finger_tip_marker X=271.503 Y=9.135 Z=22.587 P=55.731937 Y=153.115952 R=176.806824
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=36.169861 Y=-173.049957 R=99.702316
b_r_index2 X=274.833 Y=10.777 Z=29.030 P=78.655769 Y=-153.160248 R=111.228317
b_r_index3 X=275.260 Y=10.993 Z=26.647 P=74.911697 Y=-133.475647 R=126.258003
r_index_finger_tip_marker X=275.753 Y=11.461 Z=24.514 P=74.911736 Y=-133.475601 R=126.258102
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=53.796284 Y=-177.272949 R=87.177460
b_r_middle2 X=274.292 Y=12.710 Z=28.282 P=87.539940 Y=85.887520 R=-11.847917
b_r_middle3 X=274.283 Y=12.592 Z=25.529 P=86.802292 Y=122.790581 R=15.248415
r_middle_finger_tip_marker X=274.458 Y=12.539 Z=23.037 P=86.802353 Y=122.790474 R=15.248281
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=69.415260 Y=-175.840515 R=64.504272
b_r_ring2 X=272.432 Y=14.608 Z=27.696 P=78.377403 Y=100.104668 R=-25.772367
b_r_ring3 X=272.526 Y=14.081 Z=25.093 P=71.417290 Y=103.985100 R=-22.951508
r_ring_finger_tip_marker X=272.827 Y=13.442 Z=22.760 P=71.417282 Y=103.985123 R=-22.951473
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=75.283180 Y=172.762604 R=68.823250
b_r_pinky2 X=270.759 Y=16.169 Z=27.659 P=86.699265 Y=-119.987495 R=125.245789
b_r_pinky3 X=270.817 Y=16.271 Z=25.632 P=79.988274 Y=135.373749 R=21.279169
r_pinky_finger_tip_marker X=271.209 Y=16.031 Z=23.485 P=79.988235 Y=135.373764 R=21.279160
