Left
018_plum X=277.126 Y=7.756 Z=129.770 P=-8.673077 Y=-25.558666 R=155.072739
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=27.332195 Y=-37.318119 R=140.272659
b_r_thumb1 X=258.432 Y=15.152 Z=29.703 P=50.987679 Y=-23.102474 R=179.422714
b_r_thumb2 X=256.549 Y=15.955 Z=27.177 P=35.013992 Y=-25.913553 R=157.338364
b_r_thumb3 X=254.060 Y=17.164 Z=25.238 P=46.494175 Y=-37.711391 R=169.171219
r_thumb_finger_tip_marker X=252.726 Y=18.308 Z=23.513 P=46.494175 Y=-37.711372 R=169.171204
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=27.001028 Y=1.565479 R=97.934364
b_r_index2 X=249.217 Y=15.028 Z=29.546 P=54.345867 Y=5.722675 R=94.454773
b_r_index3 X=247.808 Y=14.886 Z=27.571 P=52.969631 Y=15.138591 R=97.883415
r_index_finger_tip_marker X=246.430 Y=14.498 Z=25.850 P=52.969631 Y=15.138644 R=97.883461
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=49.803555 Y=9.338572 R=88.638069
b_r_middle2 X=249.896 Y=12.488 Z=28.467 P=82.577217 Y=-0.982893 R=75.850502
b_r_middle3 X=249.540 Y=12.494 Z=25.735 P=81.543846 Y=-3.842459 R=63.164017
r_middle_finger_tip_marker X=249.082 Y=12.446 Z=23.278 P=81.543869 Y=-3.842552 R=63.163975
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=61.374901 Y=7.252945 R=70.103951
b_r_ring2 X=251.472 Y=10.782 Z=27.924 P=73.023163 Y=-101.600647 R=-43.354874
b_r_ring3 X=251.628 Y=11.542 Z=25.382 P=63.957657 Y=-100.798256 R=-43.609592
r_ring_finger_tip_marker X=251.709 Y=12.496 Z=23.140 P=63.957642 Y=-100.798241 R=-43.609547
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=65.016510 Y=18.571383 R=82.767563
b_r_pinky2 X=253.174 Y=8.846 Z=27.846 P=81.869827 Y=-153.248840 R=-102.153366
b_r_pinky3 X=253.431 Y=8.975 Z=25.835 P=75.453308 Y=-99.861908 R=-48.996990
r_pinky_finger_tip_marker X=253.416 Y=9.462 Z=23.694 P=75.453293 Y=-99.861908 R=-48.996990
