Right
018_plum X=268.260 Y=12.445 Z=134.427 P=3.838546 Y=33.433113 R=-120.623100
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=33.367462 Y=152.551468 R=149.242310
b_r_thumb1 X=266.043 Y=10.757 Z=29.478 P=42.010273 Y=170.253998 R=-169.521896
b_r_thumb2 X=268.424 Y=10.348 Z=27.302 P=26.523788 Y=163.720306 R=166.646133
b_r_thumb3 X=271.327 Y=9.500 Z=25.792 P=39.207336 Y=143.459625 R=174.846405
r_thumb_finger_tip_marker X=272.839 Y=8.260 Z=24.297 P=39.207329 Y=143.459625 R=174.846390
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=24.178301 Y=179.639191 R=97.422989
b_r_index2 X=275.254 Y=10.385 Z=29.715 P=43.776283 Y=-177.475433 R=92.892899
b_r_index3 X=277.007 Y=10.462 Z=28.033 P=36.820656 Y=-170.246414 R=93.584282
r_index_finger_tip_marker X=278.829 Y=10.799 Z=26.776 P=36.820656 Y=-170.246384 R=93.584312
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=30.207445 Y=-178.746002 R=87.520424
b_r_middle2 X=275.468 Y=12.671 Z=29.586 P=52.035873 Y=179.677780 R=83.648483
b_r_middle3 X=277.163 Y=12.661 Z=27.414 P=42.384995 Y=-177.764847 R=76.494286
r_middle_finger_tip_marker X=279.073 Y=12.792 Z=25.807 P=42.384991 Y=-177.764862 R=76.494263
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=45.734146 Y=-171.964691 R=74.844147
b_r_ring2 X=273.759 Y=14.889 Z=28.554 P=67.963631 Y=162.772385 R=44.770714
b_r_ring3 X=274.712 Y=14.594 Z=26.091 P=61.330395 Y=156.570267 R=38.298683
r_ring_finger_tip_marker X=275.903 Y=14.233 Z=23.995 P=61.330395 Y=156.570251 R=38.298683
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=63.391598 Y=-172.352417 R=80.051697
b_r_pinky2 X=271.348 Y=16.451 Z=27.884 P=70.282524 Y=-150.451920 R=90.430084
b_r_pinky3 X=271.944 Y=16.789 Z=25.972 P=67.056473 Y=179.461929 R=62.721596
r_pinky_finger_tip_marker X=272.909 Y=16.814 Z=24.000 P=67.056458 Y=179.461929 R=62.721596
