Left
018_plum X=276.660 Y=8.873 Z=133.790 P=-39.291462 Y=104.767235 R=47.779789
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=29.829477 Y=-33.691772 R=143.543381
b_r_thumb1 X=258.394 Y=15.009 Z=29.608 P=47.275173 Y=-17.322546 R=-175.980682
b_r_thumb2 X=256.288 Y=15.666 Z=27.220 P=34.791935 Y=-5.833356 R=170.728531
b_r_thumb3 X=253.527 Y=15.948 Z=25.292 P=47.986160 Y=-30.825109 R=173.240356
r_thumb_finger_tip_marker X=252.112 Y=16.902 Z=23.517 P=47.986179 Y=-30.825104 R=173.240341
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=32.861877 Y=-1.496906 R=97.924522
b_r_index2 X=249.410 Y=15.203 Z=29.210 P=60.234097 Y=3.378223 R=95.298714
b_r_index3 X=248.206 Y=15.132 Z=27.101 P=47.659267 Y=11.297087 R=97.897964
r_index_finger_tip_marker X=246.655 Y=14.807 Z=25.519 P=47.659267 Y=11.297126 R=97.898003
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=40.464298 Y=5.289542 R=88.038353
b_r_middle2 X=249.378 Y=12.636 Z=28.960 P=70.544800 Y=0.968035 R=81.439568
b_r_middle3 X=248.460 Y=12.621 Z=26.362 P=61.922752 Y=5.107395 R=76.107323
r_middle_finger_tip_marker X=247.205 Y=12.451 Z=24.208 P=61.922737 Y=5.107362 R=76.107277
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=59.337990 Y=8.641727 R=71.322754
b_r_ring2 X=251.359 Y=10.719 Z=27.993 P=74.431381 Y=-20.717506 R=35.792500
b_r_ring3 X=250.692 Y=10.972 Z=25.433 P=70.278122 Y=-46.819923 R=9.865761
r_ring_finger_tip_marker X=250.010 Y=11.460 Z=23.143 P=70.278114 Y=-46.819946 R=9.865753
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=73.813286 Y=-30.824717 R=61.119419
b_r_pinky2 X=253.669 Y=9.698 Z=27.680 P=71.406677 Y=-168.961197 R=-88.476471
b_r_pinky3 X=254.305 Y=9.822 Z=25.755 P=72.460632 Y=-127.946770 R=-49.172832
r_pinky_finger_tip_marker X=254.589 Y=10.346 Z=23.642 P=72.460632 Y=-127.946785 R=-49.172840
