Right
018_plum X=275.956 Y=1.665 Z=138.328 P=-30.048548 Y=-136.906113 R=-101.827240
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=28.293333 Y=144.017639 R=141.473511
b_r_thumb1 X=265.972 Y=10.428 Z=29.666 P=44.901112 Y=159.068069 R=-179.271561
b_r_thumb2 X=268.123 Y=9.605 Z=27.371 P=31.688046 Y=165.314697 R=164.013184
b_r_thumb3 X=270.905 Y=8.876 Z=25.596 P=43.850418 Y=148.933029 R=173.339493
r_thumb_finger_tip_marker X=272.422 Y=7.852 Z=23.949 P=43.850433 Y=148.933060 R=173.339493
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=48.511406 Y=177.530777 R=99.727829
b_r_index2 X=274.304 Y=10.299 Z=28.427 P=79.121765 Y=-164.057724 R=110.557457
b_r_index3 X=274.745 Y=10.425 Z=26.040 P=69.333656 Y=-155.393616 R=114.972336
r_index_finger_tip_marker X=275.559 Y=10.779 Z=23.985 P=69.333633 Y=-155.393509 R=114.972420
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=54.109093 Y=176.289078 R=85.825844
b_r_middle2 X=274.270 Y=12.427 Z=28.268 P=84.793457 Y=145.004700 R=52.480614
b_r_middle3 X=274.475 Y=12.283 Z=25.524 P=75.452156 Y=173.714035 R=71.878052
r_middle_finger_tip_marker X=275.200 Y=12.268 Z=23.133 P=75.452126 Y=173.713974 R=71.877983
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=67.373993 Y=-170.160339 R=67.969124
b_r_ring2 X=272.542 Y=14.765 Z=27.747 P=78.118774 Y=98.941734 R=-28.961107
b_r_ring3 X=272.627 Y=14.225 Z=25.147 P=69.082047 Y=93.253639 R=-35.441227
r_ring_finger_tip_marker X=272.786 Y=13.471 Z=22.834 P=69.082031 Y=93.253677 R=-35.441181
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=77.017265 Y=-174.484802 R=72.807938
b_r_pinky2 X=270.672 Y=16.334 Z=27.637 P=85.884949 Y=-27.132235 R=-151.006485
b_r_pinky3 X=270.542 Y=16.401 Z=25.611 P=82.146088 Y=136.002060 R=12.291785
r_pinky_finger_tip_marker X=270.872 Y=16.240 Z=23.446 P=82.146057 Y=136.002075 R=12.291798
