Right
019_pitcher_base X=282.016 Y=-3.208 Z=122.745 P=-9.664252 Y=86.470116 R=-10.736350
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=28.440435 Y=144.228317 R=141.663361
b_r_thumb1 X=265.974 Y=10.436 Z=29.661 P=36.956482 Y=159.271927 R=-179.762680
b_r_thumb2 X=268.404 Y=9.517 Z=27.706 P=25.925676 Y=173.637817 R=166.742172
b_r_thumb3 X=271.425 Y=9.180 Z=26.229 P=36.555836 Y=-173.075729 R=-166.302200
r_thumb_finger_tip_marker X=273.424 Y=9.306 Z=24.797 P=36.555832 Y=-173.075714 R=-166.302200
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=45.651459 Y=-169.115570 R=101.837097
b_r_index2 X=274.397 Y=10.908 Z=28.556 P=78.315689 Y=-19.267239 R=-117.464386
b_r_index3 X=273.933 Y=11.070 Z=26.176 P=71.809624 Y=-28.117243 R=-130.330688
r_index_finger_tip_marker X=273.408 Y=11.451 Z=24.033 P=71.809570 Y=-28.117285 R=-130.330719
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=42.536087 Y=-169.176697 R=88.994446
b_r_middle2 X=274.866 Y=13.183 Z=28.843 P=63.382206 Y=18.104006 R=-85.546227
b_r_middle3 X=273.693 Y=12.800 Z=26.380 P=54.768791 Y=21.013052 R=-93.754921
r_middle_finger_tip_marker X=272.420 Y=12.352 Z=24.277 P=54.768791 Y=21.013077 R=-93.754906
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=48.079510 Y=-161.032471 R=76.884720
b_r_ring2 X=273.528 Y=15.355 Z=28.445 P=58.820576 Y=59.682762 R=-63.609440
b_r_ring3 X=272.834 Y=14.168 Z=26.172 P=18.403349 Y=48.566349 R=-72.652023
r_ring_finger_tip_marker X=271.357 Y=12.460 Z=25.251 P=18.403343 Y=48.566368 R=-72.652008
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=42.976471 Y=-162.570709 R=85.766243
b_r_pinky2 X=272.129 Y=16.941 Z=28.537 P=71.786263 Y=47.570549 R=-78.018654
b_r_pinky3 X=271.701 Y=16.472 Z=26.607 P=35.130207 Y=50.433994 R=-73.245712
r_pinky_finger_tip_marker X=270.644 Y=15.101 Z=25.256 P=35.130207 Y=50.433994 R=-73.245728
