Right
019_pitcher_base X=287.190 Y=2.246 Z=111.989 P=-6.164641 Y=136.604095 R=4.695641
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=24.605604 Y=139.227173 R=137.191422
b_r_thumb1 X=265.912 Y=10.238 Z=29.810 P=49.884998 Y=150.705917 R=174.248062
b_r_thumb2 X=267.739 Y=9.213 Z=27.323 P=39.816700 Y=170.336716 R=167.097092
b_r_thumb3 X=270.298 Y=8.777 Z=25.159 P=50.111504 Y=-173.839325 R=-161.643814
r_thumb_finger_tip_marker X=271.903 Y=8.831 Z=23.293 P=50.111496 Y=-173.839310 R=-161.643814
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=48.680374 Y=-164.098221 R=103.388977
b_r_index2 X=274.202 Y=11.093 Z=28.420 P=71.863579 Y=-8.115564 R=-110.315582
b_r_index3 X=273.453 Y=11.200 Z=26.110 P=51.591351 Y=-3.175279 R=-110.644882
r_index_finger_tip_marker X=272.136 Y=11.337 Z=24.305 P=51.591362 Y=-3.175318 R=-110.644943
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=57.337292 Y=-166.081894 R=89.529121
b_r_middle2 X=274.008 Y=13.147 Z=28.132 P=61.590012 Y=18.646099 R=-88.290550
b_r_middle3 X=272.766 Y=12.728 Z=25.709 P=42.037823 Y=23.822594 R=-95.890129
r_middle_finger_tip_marker X=271.120 Y=12.047 Z=23.955 P=42.037834 Y=23.822617 R=-95.890137
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=53.024422 Y=-162.182266 R=75.649910
b_r_ring2 X=273.297 Y=15.226 Z=28.232 P=61.341858 Y=61.480469 R=-63.081173
b_r_ring3 X=272.689 Y=14.107 Z=25.900 P=28.223692 Y=52.414001 R=-71.239235
r_ring_finger_tip_marker X=271.449 Y=12.452 Z=24.608 P=28.223686 Y=52.414017 R=-71.239212
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=47.067348 Y=-171.108810 R=83.574883
b_r_pinky2 X=272.052 Y=16.591 Z=28.382 P=85.225441 Y=85.278923 R=-33.245083
b_r_pinky3 X=272.038 Y=16.423 Z=26.357 P=72.962334 Y=91.695885 R=-26.203810
r_pinky_finger_tip_marker X=272.176 Y=15.814 Z=24.252 P=72.962372 Y=91.695908 R=-26.203831
