Left
019_pitcher_base X=291.943 Y=0.794 Z=114.455 P=-33.185749 Y=115.154610 R=43.133095
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=16.354519 Y=-49.126995 R=129.931549
b_r_thumb1 X=258.627 Y=15.617 Z=30.145 P=57.650948 Y=-51.828552 R=157.615570
b_r_thumb2 X=257.552 Y=16.984 Z=27.398 P=49.710754 Y=-28.764936 R=155.366821
b_r_thumb3 X=255.636 Y=18.036 Z=24.820 P=60.330128 Y=0.340551 R=-160.357376
r_thumb_finger_tip_marker X=254.394 Y=18.148 Z=22.698 P=60.330154 Y=0.340572 R=-160.357376
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=-0.120266 Y=6.548164 R=97.454758
b_r_index2 X=248.827 Y=14.687 Z=31.276 P=24.504402 Y=8.929634 R=91.737717
b_r_index3 X=246.643 Y=14.344 Z=30.268 P=27.826475 Y=15.162244 R=90.208855
r_index_finger_tip_marker X=244.695 Y=13.786 Z=29.315 P=27.826475 Y=15.162271 R=90.208855
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=20.613899 Y=12.559299 R=89.301048
b_r_middle2 X=248.708 Y=12.064 Z=30.234 P=65.349907 Y=8.625374 R=83.314064
b_r_middle3 X=247.572 Y=11.891 Z=27.730 P=59.093132 Y=10.558651 R=75.671234
r_middle_finger_tip_marker X=246.236 Y=11.583 Z=25.641 P=59.093128 Y=10.558627 R=75.671204
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=29.314829 Y=21.569210 R=79.373589
b_r_ring2 X=250.163 Y=9.768 Z=29.438 P=65.306877 Y=-6.678003 R=48.495872
b_r_ring3 X=249.060 Y=9.897 Z=27.023 P=63.147541 Y=-25.242886 R=30.764393
r_ring_finger_tip_marker X=247.953 Y=10.252 Z=24.880 P=63.147541 Y=-25.242924 R=30.764383
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=50.264290 Y=18.385843 R=85.177750
b_r_pinky2 X=252.541 Y=8.640 Z=28.268 P=69.557602 Y=31.098232 R=84.868484
b_r_pinky3 X=251.933 Y=8.273 Z=26.365 P=66.561607 Y=1.640873 R=57.929852
r_pinky_finger_tip_marker X=250.956 Y=8.202 Z=24.400 P=66.561592 Y=1.640882 R=57.929821
