Right
019_pitcher_base X=282.188 Y=4.214 Z=124.463 P=-5.467689 Y=121.854309 R=-10.172123
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=24.973806 Y=139.668015 R=137.582474
b_r_thumb1 X=265.919 Y=10.255 Z=29.795 P=52.012218 Y=151.224228 R=174.860764
b_r_thumb2 X=267.673 Y=9.292 Z=27.233 P=38.620373 Y=157.634872 R=158.935364
b_r_thumb3 X=270.114 Y=8.287 Z=25.123 P=49.946671 Y=142.722595 R=167.986404
r_thumb_finger_tip_marker X=271.374 Y=7.220 Z=23.297 P=49.946671 Y=142.722610 R=167.986389
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=4.501593 Y=-173.585785 R=97.523537
b_r_index2 X=275.551 Y=10.829 Z=30.971 P=27.417675 Y=-171.140457 R=92.000069
b_r_index3 X=277.683 Y=11.162 Z=29.851 P=21.649664 Y=-164.838196 R=90.597969
r_index_finger_tip_marker X=279.718 Y=11.743 Z=29.122 P=21.649664 Y=-164.838165 R=90.597977
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=17.896938 Y=-167.133636 R=89.339134
b_r_middle2 X=275.742 Y=13.499 Z=30.426 P=46.650139 Y=-168.157516 R=85.880516
b_r_middle3 X=277.592 Y=13.887 Z=28.423 P=40.581429 Y=-167.286469 R=77.106277
r_middle_finger_tip_marker X=279.496 Y=14.373 Z=26.878 P=40.581429 Y=-167.286484 R=77.106255
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=19.527838 Y=-158.622604 R=79.695236
b_r_ring2 X=274.487 Y=15.848 Z=30.043 P=46.406906 Y=-170.288208 R=64.645500
b_r_ring3 X=276.293 Y=16.157 Z=28.119 P=46.702900 Y=178.077454 R=55.211964
r_ring_finger_tip_marker X=278.049 Y=16.211 Z=26.429 P=46.702900 Y=178.077423 R=55.211967
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=31.860714 Y=-169.299713 R=85.502129
b_r_pinky2 X=272.548 Y=16.752 Z=29.009 P=58.964092 Y=-164.990738 R=76.143707
b_r_pinky3 X=273.560 Y=17.023 Z=27.269 P=54.471973 Y=176.079178 R=60.685818
r_pinky_finger_tip_marker X=274.929 Y=16.968 Z=25.553 P=54.471973 Y=176.079178 R=60.685802
