Left
019_pitcher_base X=288.714 Y=-9.000 Z=106.400 P=-1.175380 Y=-169.674164 R=-2.265111
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=21.902134 Y=-43.803680 R=134.522079
b_r_thumb1 X=258.524 Y=15.409 Z=29.917 P=46.722275 Y=-34.332916 R=169.948120
b_r_thumb2 X=256.683 Y=16.667 Z=27.550 P=40.311638 Y=-0.516145 R=171.885742
b_r_thumb3 X=254.106 Y=16.690 Z=25.364 P=41.844921 Y=35.353848 R=-143.712387
r_thumb_finger_tip_marker X=252.545 Y=15.732 Z=23.719 P=41.844910 Y=35.353855 R=-143.712387
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=49.379997 Y=16.726700 R=103.707932
b_r_index2 X=250.230 Y=14.409 Z=28.389 P=69.373871 Y=174.564087 R=-108.307587
b_r_index3 X=251.083 Y=14.328 Z=26.115 P=46.011551 Y=179.765488 R=-108.661942
r_index_finger_tip_marker X=252.573 Y=14.261 Z=24.445 P=46.011532 Y=179.765442 R=-108.661964
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=52.472527 Y=10.852340 R=88.906960
b_r_middle2 X=250.062 Y=12.445 Z=28.341 P=60.018440 Y=-162.972916 R=-87.085472
b_r_middle3 X=251.378 Y=12.848 Z=25.955 P=34.097168 Y=-157.704727 R=-95.454773
r_middle_finger_tip_marker X=253.249 Y=13.571 Z=24.464 P=34.097164 Y=-157.704712 R=-95.454758
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=42.536797 Y=20.302183 R=77.986305
b_r_ring2 X=250.630 Y=10.021 Z=28.711 P=64.478706 Y=-112.246567 R=-55.401440
b_r_ring3 X=251.063 Y=11.081 Z=26.312 P=30.329283 Y=-127.312752 R=-68.553963
r_ring_finger_tip_marker X=252.260 Y=12.708 Z=24.947 P=30.329283 Y=-127.312752 R=-68.553947
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=27.951380 Y=15.229434 R=86.578529
b_r_pinky2 X=251.786 Y=8.546 Z=29.191 P=80.338455 Y=-20.835909 R=37.142403
b_r_pinky3 X=251.467 Y=8.668 Z=27.188 P=63.000336 Y=-107.174416 R=-45.059521
r_pinky_finger_tip_marker X=251.645 Y=9.590 Z=25.204 P=63.000343 Y=-107.174416 R=-45.059536
