Right
019_pitcher_base X=283.645 Y=0.955 Z=125.252 P=18.172216 Y=-43.357391 R=-1.740551
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=28.942583 Y=144.960846 R=142.324265
b_r_thumb1 X=265.982 Y=10.465 Z=29.642 P=54.054340 Y=161.111923 R=-176.782364
b_r_thumb2 X=267.788 Y=9.847 Z=27.010 P=40.905239 Y=169.173279 R=168.511353
b_r_thumb3 X=270.296 Y=9.367 Z=24.797 P=53.651550 Y=149.772034 R=173.548645
r_thumb_finger_tip_marker X=271.562 Y=8.520 Z=22.862 P=53.651543 Y=149.772049 R=173.548645
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=-1.785500 Y=-179.230499 R=96.618271
b_r_index2 X=275.584 Y=10.458 Z=31.386 P=12.940687 Y=-177.389420 R=90.695122
b_r_index3 X=277.951 Y=10.566 Z=30.842 P=8.368498 Y=-171.395218 R=87.752876
r_index_finger_tip_marker X=280.148 Y=10.932 Z=30.617 P=8.368505 Y=-171.395187 R=87.752876
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=12.837210 Y=-169.892654 R=88.905190
b_r_middle2 X=275.880 Y=13.324 Z=30.792 P=34.053215 Y=-170.389435 R=85.895027
b_r_middle3 X=278.130 Y=13.705 Z=29.249 P=23.771051 Y=-168.590500 R=77.785110
r_middle_finger_tip_marker X=280.400 Y=14.218 Z=28.339 P=23.771051 Y=-168.590515 R=77.785110
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=13.500893 Y=-157.235397 R=80.010338
b_r_ring2 X=274.561 Y=15.976 Z=30.437 P=33.734840 Y=-164.126785 R=68.916237
b_r_ring3 X=276.686 Y=16.580 Z=28.961 P=30.234827 Y=-170.993301 R=64.391289
r_ring_finger_tip_marker X=278.814 Y=17.012 Z=27.851 P=30.234814 Y=-170.993317 R=64.391289
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=21.082232 Y=-169.989792 R=86.149246
b_r_pinky2 X=272.807 Y=16.766 Z=29.526 P=35.966469 Y=-162.538101 R=78.884674
b_r_pinky3 X=274.376 Y=17.259 Z=28.333 P=39.129128 Y=-178.356476 R=69.978836
r_pinky_finger_tip_marker X=276.152 Y=17.329 Z=27.045 P=39.129128 Y=-178.356476 R=69.978821
