Left
019_pitcher_base X=283.629 Y=1.673 Z=115.815 P=-5.738219 Y=-81.590080 R=-36.546871
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=27.468151 Y=-37.133324 R=140.438507
b_r_thumb1 X=258.430 Y=15.145 Z=29.698 P=50.242233 Y=-22.768450 R=179.636124
b_r_thumb2 X=256.512 Y=15.949 Z=27.199 P=38.301975 Y=-9.632253 R=167.985016
b_r_thumb3 X=253.898 Y=16.393 Z=25.104 P=45.781284 Y=15.662848 R=-154.708817
r_thumb_finger_tip_marker X=252.202 Y=16.044 Z=23.353 P=45.781284 Y=15.662859 R=-154.708817
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=51.793610 Y=9.857259 R=102.984856
b_r_index2 X=250.284 Y=14.718 Z=28.288 P=54.817642 Y=177.074127 R=-99.892921
b_r_index3 X=251.683 Y=14.647 Z=26.302 P=34.997936 Y=176.215927 R=-105.240669
r_index_finger_tip_marker X=253.455 Y=14.474 Z=24.944 P=34.997921 Y=176.215897 R=-105.240677
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=54.586483 Y=12.230923 R=89.174568
b_r_middle2 X=250.199 Y=12.410 Z=28.247 P=48.843960 Y=-162.950409 R=-88.245720
b_r_middle3 X=251.932 Y=12.942 Z=26.173 P=33.785004 Y=-159.211243 R=-97.069069
r_middle_finger_tip_marker X=253.831 Y=13.615 Z=24.694 P=33.785004 Y=-159.211227 R=-97.069046
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=67.045036 Y=5.383450 R=66.561829
b_r_ring2 X=251.811 Y=10.876 Z=27.756 P=19.713114 Y=-139.954590 R=-79.175003
b_r_ring3 X=253.726 Y=12.485 Z=26.860 P=-34.762058 Y=-142.789276 R=-80.674950
r_ring_finger_tip_marker X=255.391 Y=13.750 Z=28.113 P=-34.762070 Y=-142.789276 R=-80.674950
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=75.844612 Y=-3.123578 R=70.040138
b_r_pinky2 X=253.654 Y=9.300 Z=27.652 P=22.274263 Y=-151.426178 R=-94.385941
b_r_pinky3 X=255.305 Y=10.199 Z=26.882 P=-32.864452 Y=-138.597046 R=-92.103104
r_pinky_finger_tip_marker X=256.723 Y=11.476 Z=27.969 P=-32.864452 Y=-138.597046 R=-92.103111
