Right
021_bleach_cleanser X=283.832 Y=5.492 Z=130.278 P=-12.416928 Y=126.071175 R=44.359631
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=29.825542 Y=146.302124 R=143.537872
b_r_thumb1 X=265.995 Y=10.517 Z=29.608 P=44.294292 Y=162.385727 R=-176.449692
b_r_thumb2 X=268.213 Y=9.813 Z=27.338 P=29.916172 Y=163.633911 R=163.900879
b_r_thumb3 X=271.023 Y=8.988 Z=25.652 P=42.383072 Y=151.850143 R=176.430450
r_thumb_finger_tip_marker X=272.622 Y=8.021 Z=24.049 P=42.383080 Y=151.850159 R=176.430435
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=23.440382 Y=174.259155 R=96.495605
b_r_index2 X=275.256 Y=10.059 Z=29.759 P=49.320286 Y=176.965408 R=91.894623
b_r_index3 X=276.838 Y=9.975 Z=27.916 P=40.321354 Y=-175.209015 R=93.495201
r_index_finger_tip_marker X=278.602 Y=10.146 Z=26.549 P=40.321354 Y=-175.208984 R=93.495232
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=39.897881 Y=178.144287 R=86.827843
b_r_middle2 X=275.051 Y=12.483 Z=28.992 P=67.264259 Y=173.520462 R=80.118103
b_r_middle3 X=276.109 Y=12.363 Z=26.451 P=51.744640 Y=-179.378159 R=77.817841
r_middle_finger_tip_marker X=277.736 Y=12.434 Z=24.556 P=51.744648 Y=-179.378189 R=77.817825
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=41.587406 Y=-174.056808 R=75.163498
b_r_ring2 X=273.965 Y=14.811 Z=28.759 P=65.736664 Y=161.446335 R=46.400852
b_r_ring3 X=275.000 Y=14.463 Z=26.336 P=61.569103 Y=148.922714 R=34.236393
r_ring_finger_tip_marker X=276.120 Y=13.960 Z=24.230 P=61.569069 Y=148.922684 R=34.236374
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=81.824821 Y=133.116135 R=36.749420
b_r_pinky2 X=270.283 Y=15.949 Z=27.590 P=45.501308 Y=14.788505 R=-94.340111
b_r_pinky3 X=268.907 Y=15.585 Z=26.141 P=42.984367 Y=30.436745 R=-82.828392
r_pinky_finger_tip_marker X=267.613 Y=14.779 Z=24.560 P=42.984367 Y=30.436743 R=-82.828407
