Right
021_bleach_cleanser X=278.337 Y=5.929 Z=119.253 P=-11.820407 Y=158.687531 R=-0.180053
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=32.711040 Y=151.266068 R=148.062973
b_r_thumb1 X=266.035 Y=10.708 Z=29.501 P=52.833984 Y=171.650558 R=-167.809921
b_r_thumb2 X=267.978 Y=10.423 Z=26.910 P=38.634609 Y=171.810867 R=171.830994
b_r_thumb3 X=270.591 Y=10.047 Z=24.801 P=52.089794 Y=163.612091 R=-174.463989
r_thumb_finger_tip_marker X=272.053 Y=9.504 Z=22.895 P=52.089787 Y=163.612091 R=-174.463989
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=37.341644 Y=-163.688507 R=101.317368
b_r_index2 X=274.688 Y=11.254 Z=28.968 P=63.550072 Y=-154.858902 R=102.053848
b_r_index3 X=275.668 Y=11.714 Z=26.792 P=58.596012 Y=-145.093079 R=106.532539
r_index_finger_tip_marker X=276.698 Y=12.432 Z=24.939 P=58.596012 Y=-145.093048 R=106.532608
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=48.826912 Y=-166.447266 R=89.478249
b_r_middle2 X=274.506 Y=13.252 Z=28.514 P=74.710915 Y=-168.238708 R=84.997223
b_r_middle3 X=275.218 Y=13.400 Z=25.857 P=63.964901 Y=-163.876892 R=80.154350
r_middle_finger_tip_marker X=276.349 Y=13.779 Z=23.661 P=63.964897 Y=-163.876923 R=80.154305
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=44.861275 Y=-163.695129 R=76.770340
b_r_ring2 X=273.717 Y=15.285 Z=28.596 P=67.435814 Y=174.218582 R=49.588528
b_r_ring3 X=274.732 Y=15.182 Z=26.142 P=62.533718 Y=163.218369 R=38.708088
r_ring_finger_tip_marker X=275.915 Y=14.973 Z=24.021 P=62.533718 Y=163.218338 R=38.708088
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=40.488441 Y=-174.059158 R=83.817314
b_r_pinky2 X=272.308 Y=16.510 Z=28.636 P=54.786667 Y=-164.282684 R=80.336861
b_r_pinky3 X=273.436 Y=16.827 Z=26.977 P=48.587902 Y=179.608749 R=67.918274
r_pinky_finger_tip_marker X=274.978 Y=16.839 Z=25.413 P=48.587910 Y=179.608749 R=67.918259
