Left
021_bleach_cleanser X=286.531 Y=7.743 Z=106.614 P=5.128338 Y=133.907990 R=5.757556
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=24.336359 Y=-41.090633 R=136.909927
b_r_thumb1 X=258.481 Y=15.302 Z=29.820 P=55.886932 Y=-31.009228 R=173.398056
b_r_thumb2 X=256.918 Y=16.241 Z=27.128 P=45.608639 Y=-9.208901 R=169.312302
b_r_thumb3 X=254.585 Y=16.619 Z=24.714 P=57.766102 Y=-4.912085 R=-167.510056
r_thumb_finger_tip_marker X=253.251 Y=16.849 Z=22.657 P=57.766109 Y=-4.912066 R=-167.510071
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=6.274416 Y=4.462139 R=97.300621
b_r_index2 X=248.837 Y=14.827 Z=30.854 P=26.794264 Y=6.763140 R=91.787865
b_r_index3 X=246.682 Y=14.571 Z=29.758 P=37.814098 Y=13.245027 R=90.770767
r_index_finger_tip_marker X=244.908 Y=14.124 Z=28.468 P=37.814098 Y=13.245059 R=90.770790
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=26.863863 Y=10.854688 R=89.046173
b_r_middle2 X=248.869 Y=12.216 Z=29.806 P=61.327240 Y=8.346207 R=84.257538
b_r_middle3 X=247.561 Y=12.024 Z=27.389 P=71.442467 Y=-3.836850 R=62.110027
r_middle_finger_tip_marker X=246.682 Y=12.003 Z=25.049 P=71.442467 Y=-3.836893 R=62.110001
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=26.893711 Y=21.366798 R=79.454041
b_r_ring2 X=250.086 Y=9.751 Z=29.583 P=59.516754 Y=1.108706 R=56.206238
b_r_ring3 X=248.738 Y=9.725 Z=27.293 P=66.518051 Y=-66.979614 R=-7.410013
r_ring_finger_tip_marker X=248.232 Y=10.517 Z=25.043 P=66.518051 Y=-66.979622 R=-7.410008
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=25.893034 Y=14.875728 R=86.655022
b_r_pinky2 X=251.733 Y=8.550 Z=29.289 P=39.656368 Y=23.229275 R=80.492546
b_r_pinky3 X=250.296 Y=7.933 Z=27.993 P=50.355385 Y=2.389010 R=66.805038
r_pinky_finger_tip_marker X=248.807 Y=7.845 Z=26.382 P=50.355381 Y=2.389007 R=66.805031
