Left
021_bleach_cleanser X=281.283 Y=3.616 Z=106.577 P=1.164575 Y=-47.598255 R=3.431802
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=29.802490 Y=-33.733822 R=143.505264
b_r_thumb1 X=258.394 Y=15.011 Z=29.609 P=55.523003 Y=-16.288370 R=-174.458282
b_r_thumb2 X=256.628 Y=15.527 Z=26.929 P=42.964207 Y=5.418107 R=-179.104126
b_r_thumb3 X=254.166 Y=15.294 Z=24.626 P=58.773666 Y=-18.770962 R=-178.831360
r_thumb_finger_tip_marker X=252.940 Y=15.820 Z=22.557 P=58.773651 Y=-18.770947 R=-178.831360
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=35.532600 Y=7.986993 R=99.793427
b_r_index2 X=249.539 Y=14.691 Z=29.064 P=69.052292 Y=18.000036 R=101.717354
b_r_index3 X=248.712 Y=14.423 Z=26.794 P=65.563866 Y=30.945435 R=109.546219
r_index_finger_tip_marker X=247.832 Y=13.902 Z=24.802 P=65.563858 Y=30.945499 R=109.546288
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=48.809475 Y=8.336360 R=88.457405
b_r_middle2 X=249.833 Y=12.528 Z=28.515 P=81.079086 Y=-0.650922 R=77.043762
b_r_middle3 X=249.406 Y=12.532 Z=25.794 P=75.222939 Y=5.384602 R=73.571396
r_middle_finger_tip_marker X=248.681 Y=12.402 Z=23.405 P=75.222939 Y=5.384556 R=73.571365
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=43.780373 Y=14.995473 R=76.642082
b_r_ring2 X=250.605 Y=10.290 Z=28.649 P=69.280571 Y=-13.368830 R=43.718826
b_r_ring3 X=249.691 Y=10.507 Z=26.163 P=66.647575 Y=-36.281681 R=21.434734
r_ring_finger_tip_marker X=248.793 Y=10.968 Z=23.944 P=66.647560 Y=-36.281704 R=21.434725
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=42.549240 Y=11.157982 R=84.578835
b_r_pinky2 X=252.184 Y=8.821 Z=28.553 P=53.274132 Y=22.591249 R=82.795677
b_r_pinky3 X=251.063 Y=8.355 Z=26.925 P=75.013405 Y=-92.623543 R=-24.949621
r_pinky_finger_tip_marker X=250.967 Y=8.899 Z=24.800 P=75.013390 Y=-92.623543 R=-24.949615
