Right
021_bleach_cleanser X=280.130 Y=7.453 Z=131.425 P=-33.862526 Y=-72.811523 R=-7.776220
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=19.620285 Y=133.879822 R=132.507477
b_r_thumb1 X=265.824 Y=10.026 Z=30.010 P=46.032986 Y=141.367706 R=166.592133
b_r_thumb2 X=267.587 Y=8.617 Z=27.670 P=31.699596 Y=146.067245 R=149.235535
b_r_thumb3 X=269.973 Y=7.012 Z=25.894 P=43.439960 Y=140.393799 R=165.488754
r_thumb_finger_tip_marker X=271.344 Y=5.770 Z=24.269 P=43.439980 Y=140.393799 R=165.488754
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=34.281197 Y=-160.637146 R=101.310722
b_r_index2 X=274.750 Y=11.446 Z=29.132 P=64.614433 Y=-150.781448 R=102.762375
b_r_index3 X=275.660 Y=11.955 Z=26.936 P=55.380482 Y=-143.152740 R=105.435867
r_index_finger_tip_marker X=276.746 Y=12.770 Z=25.156 P=55.380466 Y=-143.152679 R=105.435898
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=61.225990 Y=-166.159012 R=89.491470
b_r_middle2 X=273.765 Y=13.084 Z=27.983 P=86.494225 Y=-173.250900 R=79.654839
b_r_middle3 X=273.933 Y=13.104 Z=25.233 P=79.951210 Y=-164.717194 R=78.812828
r_middle_finger_tip_marker X=274.439 Y=13.296 Z=22.793 P=79.951210 Y=-164.717255 R=78.812759
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=58.597939 Y=-171.487320 R=71.557678
b_r_ring2 X=273.074 Y=14.809 Z=28.018 P=76.962166 Y=110.607681 R=-11.359843
b_r_ring3 X=273.285 Y=14.248 Z=25.430 P=64.968575 Y=83.153763 R=-38.628777
r_ring_finger_tip_marker X=273.284 Y=13.322 Z=23.175 P=64.968575 Y=83.153786 R=-38.628761
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=71.041534 Y=178.654022 R=74.107605
b_r_pinky2 X=270.982 Y=16.244 Z=27.725 P=81.133141 Y=19.059847 R=-97.504608
b_r_pinky3 X=270.686 Y=16.142 Z=25.718 P=73.468498 Y=64.440407 R=-52.369045
r_pinky_finger_tip_marker X=270.536 Y=15.609 Z=23.594 P=73.468483 Y=64.440399 R=-52.369030
