Left
021_bleach_cleanser X=281.845 Y=1.759 Z=104.624 P=-2.164309 Y=-18.112680 R=7.620698
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=33.969765 Y=-26.204414 R=150.386261
b_r_thumb1 X=258.338 Y=14.724 Z=29.456 P=56.788685 Y=-2.238151 R=-162.211884
b_r_thumb2 X=256.559 Y=14.793 Z=26.736 P=42.754333 Y=-0.304064 R=178.654175
b_r_thumb3 X=254.078 Y=14.806 Z=24.442 P=57.912624 Y=-23.301960 R=-179.948380
r_thumb_finger_tip_marker X=252.867 Y=15.440 Z=22.394 P=57.912624 Y=-23.301943 R=-179.948380
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=39.645168 Y=11.849822 R=100.974152
b_r_index2 X=249.737 Y=14.520 Z=28.848 P=75.469833 Y=29.551163 R=110.306725
b_r_index3 X=249.207 Y=14.219 Z=26.496 P=72.505180 Y=47.313606 R=123.223915
r_index_finger_tip_marker X=248.662 Y=13.675 Z=24.393 P=72.505173 Y=47.313667 R=123.223969
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=55.175289 Y=15.556390 R=89.894409
b_r_middle2 X=250.268 Y=12.280 Z=28.222 P=71.146240 Y=16.212835 R=87.734818
b_r_middle3 X=249.413 Y=12.031 Z=25.614 P=65.441750 Y=17.143183 R=79.188988
r_middle_finger_tip_marker X=248.345 Y=11.648 Z=23.388 P=65.441719 Y=17.143141 R=79.188942
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=44.390186 Y=17.767967 R=77.169228
b_r_ring2 X=250.671 Y=10.168 Z=28.619 P=74.250160 Y=-31.089476 R=24.378529
b_r_ring3 X=250.053 Y=10.540 Z=26.061 P=68.790833 Y=-60.426197 R=-4.577401
r_ring_finger_tip_marker X=249.499 Y=11.196 Z=23.780 P=68.790794 Y=-60.426163 R=-4.577381
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=37.423229 Y=7.107470 R=84.360893
b_r_pinky2 X=251.983 Y=8.957 Z=28.764 P=59.837795 Y=13.559340 R=77.438362
b_r_pinky3 X=250.991 Y=8.718 Z=27.008 P=58.384769 Y=-9.056528 R=58.560215
r_pinky_finger_tip_marker X=249.752 Y=8.873 Z=25.202 P=58.384769 Y=-9.056528 R=58.560200
