Left
021_bleach_cleanser X=285.221 Y=-7.294 Z=110.782 P=56.579456 Y=-16.835630 R=6.617929
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=24.442438 Y=-40.965889 R=137.020370
b_r_thumb1 X=258.479 Y=15.297 Z=29.816 P=64.041077 Y=-32.702858 R=172.621826
b_r_thumb2 X=257.282 Y=16.066 Z=26.893 P=44.793056 Y=-40.915493 R=146.034576
b_r_thumb3 X=255.469 Y=17.636 Z=24.512 P=58.668793 Y=-18.382975 R=-175.900345
r_thumb_finger_tip_marker X=254.242 Y=18.157 Z=22.442 P=58.668816 Y=-18.382963 R=-175.900360
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=10.455503 Y=4.561844 R=97.449226
b_r_index2 X=248.877 Y=14.823 Z=30.580 P=48.213585 Y=7.984867 R=92.812012
b_r_index3 X=247.273 Y=14.598 Z=28.768 P=81.965874 Y=38.604164 R=116.701752
r_index_finger_tip_marker X=246.936 Y=14.354 Z=26.568 P=81.965874 Y=38.604336 R=116.701920
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=28.221233 Y=12.862609 R=89.364677
b_r_middle2 X=248.942 Y=12.095 Z=29.716 P=87.516426 Y=-62.055557 R=12.569773
b_r_middle3 X=248.886 Y=12.201 Z=26.963 P=86.700150 Y=-70.725456 R=-6.054248
r_middle_finger_tip_marker X=248.749 Y=12.260 Z=24.468 P=86.700211 Y=-70.725609 R=-6.054312
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=26.883451 Y=20.482744 R=79.284683
b_r_ring2 X=250.067 Y=9.801 Z=29.584 P=66.728378 Y=-13.450777 R=43.633125
b_r_ring3 X=249.045 Y=10.045 Z=27.142 P=66.210114 Y=-50.188423 R=8.646544
r_ring_finger_tip_marker X=248.293 Y=10.694 Z=24.916 P=66.210091 Y=-50.188446 R=8.646542
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=28.829489 Y=13.272705 R=86.179375
b_r_pinky2 X=251.785 Y=8.641 Z=29.149 P=48.438488 Y=20.371841 R=79.183517
b_r_pinky3 X=250.522 Y=8.172 Z=27.630 P=58.378853 Y=-5.974710 R=59.034771
r_pinky_finger_tip_marker X=249.275 Y=8.261 Z=25.824 P=58.378868 Y=-5.974711 R=59.034775
