Right
024_bowl X=283.482 Y=9.523 Z=130.467 P=50.110828 Y=136.959198 R=118.233002
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=31.735441 Y=149.473770 R=146.423492
b_r_thumb1 X=266.022 Y=10.640 Z=29.537 P=49.093452 Y=167.766418 R=-171.431244
b_r_thumb2 X=268.103 Y=10.189 Z=27.080 P=36.237572 Y=-170.206116 R=-177.720673
b_r_thumb3 X=270.789 Y=10.652 Z=25.082 P=51.903057 Y=178.795685 R=-165.987747
r_thumb_finger_tip_marker X=272.335 Y=10.504 Z=23.172 P=51.903053 Y=178.795700 R=-165.987747
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=64.449097 Y=-168.968277 R=107.716797
b_r_index2 X=273.399 Y=10.720 Z=27.846 P=79.124229 Y=-35.887089 R=-127.389717
b_r_index3 X=273.028 Y=10.989 Z=25.460 P=76.033958 Y=-61.601494 R=-156.644562
r_index_finger_tip_marker X=272.871 Y=11.502 Z=23.286 P=76.033958 Y=-61.601547 R=-156.644608
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=67.472748 Y=-176.191528 R=86.543243
b_r_middle2 X=273.400 Y=12.699 Z=27.780 P=67.588783 Y=13.230401 R=-86.350502
b_r_middle3 X=272.378 Y=12.458 Z=25.233 P=75.074966 Y=13.328216 R=-95.507011
r_middle_finger_tip_marker X=271.846 Y=12.375 Z=22.793 P=75.074905 Y=13.328264 R=-95.506912
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=74.573616 Y=174.500931 R=55.372517
b_r_ring2 X=272.097 Y=14.409 Z=27.588 P=53.148602 Y=49.661316 R=-74.217354
b_r_ring3 X=271.065 Y=13.194 Z=25.461 P=48.763821 Y=58.631966 R=-68.178429
r_ring_finger_tip_marker X=270.323 Y=11.909 Z=23.527 P=48.763821 Y=58.632008 R=-68.178429
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=81.271378 Y=161.550400 R=55.342834
b_r_pinky2 X=270.427 Y=16.120 Z=27.594 P=16.080900 Y=27.305824 R=-95.550613
b_r_pinky3 X=268.693 Y=15.225 Z=27.032 P=-23.999166 Y=41.001465 R=-93.868721
r_pinky_finger_tip_marker X=267.154 Y=13.866 Z=27.811 P=-23.999166 Y=41.001461 R=-93.868736
