Left
024_bowl X=285.219 Y=11.612 Z=117.833 P=43.217377 Y=69.277328 R=-30.220224
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=31.430950 Y=-31.059761 R=145.936615
b_r_thumb1 X=258.371 Y=14.907 Z=29.548 P=51.879314 Y=-12.408101 R=-171.405197
b_r_thumb2 X=256.411 Y=15.339 Z=26.991 P=38.815659 Y=10.238243 R=-176.489899
b_r_thumb3 X=253.820 Y=14.871 Z=24.872 P=55.691032 Y=-10.409491 R=-172.568710
r_thumb_finger_tip_marker X=252.433 Y=15.238 Z=22.871 P=55.691055 Y=-10.409475 R=-172.568726
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=61.976212 Y=24.439322 R=109.912918
b_r_index2 X=250.973 Y=14.383 Z=27.920 P=69.833702 Y=170.177170 R=-113.847076
b_r_index3 X=251.798 Y=14.240 Z=25.639 P=62.550884 Y=164.578461 R=-123.314659
r_index_finger_tip_marker X=252.711 Y=13.904 Z=23.622 P=62.550877 Y=164.578415 R=-123.314713
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=72.747253 Y=10.375156 R=88.177048
b_r_middle2 X=251.378 Y=12.708 Z=27.646 P=60.367584 Y=-164.425522 R=-89.301468
b_r_middle3 X=252.690 Y=13.074 Z=25.251 P=56.950123 Y=-161.911041 R=-97.398834
r_middle_finger_tip_marker X=253.911 Y=13.425 Z=23.099 P=56.950123 Y=-161.911026 R=-97.398811
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=80.098961 Y=-40.822285 R=22.998049
b_r_ring2 X=252.817 Y=11.457 Z=27.505 P=34.691734 Y=-139.437302 R=-79.910194
b_r_ring3 X=254.477 Y=12.877 Z=25.993 P=19.560152 Y=-134.832703 R=-78.936836
r_ring_finger_tip_marker X=256.051 Y=14.468 Z=25.025 P=19.560144 Y=-134.832687 R=-78.936821
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=85.488365 Y=-64.239250 R=6.549878
b_r_pinky2 X=254.299 Y=9.477 Z=27.568 P=28.056387 Y=-152.826675 R=-97.284889
b_r_pinky3 X=255.894 Y=10.295 Z=26.613 P=-7.599937 Y=-139.084015 R=-92.276741
r_pinky_finger_tip_marker X=257.535 Y=11.744 Z=26.781 P=-7.599937 Y=-139.084015 R=-92.276764
