Right
025_mug X=279.048 Y=11.616 Z=121.600 P=1.340261 Y=146.322784 R=68.148514
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=29.836620 Y=146.319412 R=143.553528
b_r_thumb1 X=265.995 Y=10.518 Z=29.608 P=51.564133 Y=163.203186 R=-175.206985
b_r_thumb2 X=267.930 Y=9.934 Z=27.061 P=39.431053 Y=-171.461746 R=-178.362549
b_r_thumb3 X=270.511 Y=10.321 Z=24.915 P=51.924896 Y=-168.109558 R=-156.237869
r_thumb_finger_tip_marker X=272.036 Y=10.519 Z=22.991 P=51.924885 Y=-168.109528 R=-156.237869
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=70.169914 Y=-161.465408 R=113.660332
b_r_index2 X=273.014 Y=10.816 Z=27.700 P=78.539093 Y=-38.319565 R=-131.164566
b_r_index3 X=272.635 Y=11.115 Z=25.318 P=72.636475 Y=-45.751926 R=-142.632843
r_index_finger_tip_marker X=272.266 Y=11.636 Z=23.172 P=72.636490 Y=-45.751984 R=-142.632904
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=71.840195 Y=-172.526611 R=87.266457
b_r_middle2 X=273.086 Y=12.763 Z=27.667 P=72.226074 Y=15.118486 R=-87.674599
b_r_middle3 X=272.274 Y=12.544 Z=25.043 P=72.657410 Y=17.629059 R=-95.172966
r_middle_finger_tip_marker X=271.653 Y=12.390 Z=22.627 P=72.657448 Y=17.629124 R=-95.172981
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=79.961357 Y=148.140945 R=29.772413
b_r_ring2 X=271.641 Y=14.150 Z=27.507 P=6.217589 Y=37.961269 R=-82.517006
b_r_ring3 X=269.559 Y=12.525 Z=27.219 P=-33.690617 Y=40.345528 R=-84.731812
r_ring_finger_tip_marker X=267.940 Y=11.164 Z=28.433 P=-33.690617 Y=40.345558 R=-84.731819
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=84.058899 Y=125.031540 R=22.077913
b_r_pinky2 X=270.167 Y=16.007 Z=27.575 P=-1.109830 Y=25.035114 R=-96.413651
b_r_pinky3 X=268.327 Y=15.148 Z=27.615 P=-37.646301 Y=41.662262 R=-99.730240
r_pinky_finger_tip_marker X=266.976 Y=13.941 Z=28.855 P=-37.646294 Y=41.662262 R=-99.730247
