Left
025_mug X=290.524 Y=-3.307 Z=111.734 P=-13.680752 Y=-105.402122 R=-26.914635
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=30.500168 Y=-32.622974 R=144.513428
b_r_thumb1 X=258.384 Y=14.968 Z=29.583 P=49.558662 Y=-15.372223 R=-174.131271
b_r_thumb2 X=256.351 Y=15.527 Z=27.109 P=35.755898 Y=-11.579802 R=167.903137
b_r_thumb3 X=253.664 Y=16.077 Z=25.134 P=48.780472 Y=-24.039549 R=178.977493
r_thumb_finger_tip_marker X=252.178 Y=16.851 Z=23.330 P=48.780491 Y=-24.039534 R=178.977478
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=70.272316 Y=7.913838 R=110.089806
b_r_index2 X=251.327 Y=14.944 Z=27.698 P=79.827019 Y=136.923019 R=-128.557602
b_r_index3 X=251.641 Y=14.650 Z=25.306 P=77.488022 Y=90.357208 R=-178.302185
r_index_finger_tip_marker X=251.541 Y=14.139 Z=23.128 P=77.488083 Y=90.357330 R=-178.302170
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=78.755791 Y=-8.422363 R=79.447159
b_r_middle2 X=251.802 Y=13.060 Z=27.535 P=75.399887 Y=-169.282730 R=-83.790474
b_r_middle3 X=252.484 Y=13.189 Z=24.869 P=89.777931 Y=8.115913 R=85.024055
r_middle_finger_tip_marker X=252.371 Y=13.132 Z=22.373 P=89.781487 Y=8.111965 R=85.024872
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=78.911087 Y=-102.808281 R=-43.679283
b_r_ring2 X=253.491 Y=11.750 Z=27.520 P=-12.138113 Y=-140.983490 R=-85.241302
b_r_ring3 X=255.510 Y=13.385 Z=28.079 P=-56.776012 Y=-134.872208 R=-90.693031
r_ring_finger_tip_marker X=256.564 Y=14.405 Z=30.026 P=-56.776005 Y=-134.872192 R=-90.693016
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=74.147270 Y=-143.868454 R=-74.592232
b_r_pinky2 X=255.082 Y=9.754 Z=27.676 P=-9.097620 Y=-148.950623 R=-100.539627
b_r_pinky3 X=256.800 Y=10.788 Z=27.997 P=-40.317783 Y=-128.582565 R=-107.142693
r_pinky_finger_tip_marker X=257.902 Y=12.150 Z=29.321 P=-40.317783 Y=-128.582565 R=-107.142708
