Left
025_mug X=280.458 Y=2.392 Z=119.540 P=0.297619 Y=-154.361359 R=43.166637
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=23.219910 Y=-42.369263 R=135.781097
b_r_thumb1 X=258.500 Y=15.353 Z=29.865 P=52.907360 Y=-33.051033 R=171.525757
b_r_thumb2 X=256.857 Y=16.422 Z=27.271 P=38.896854 Y=-27.999521 R=154.779434
b_r_thumb3 X=254.535 Y=17.657 Z=25.149 P=51.352154 Y=-28.569925 R=174.171188
r_thumb_finger_tip_marker X=253.178 Y=18.504 Z=23.277 P=51.352158 Y=-28.569908 R=174.171173
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=12.964265 Y=-3.263420 R=96.378525
b_r_index2 X=248.905 Y=15.330 Z=30.417 P=39.611309 Y=-1.044981 R=91.130173
b_r_index3 X=247.033 Y=15.364 Z=28.868 P=36.462856 Y=6.194789 R=91.497787
r_index_finger_tip_marker X=245.187 Y=15.137 Z=27.622 P=36.462837 Y=6.194821 R=91.497787
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=17.942347 Y=6.786156 R=88.421692
b_r_middle2 X=248.575 Y=12.455 Z=30.423 P=67.656441 Y=-0.019664 R=80.171280
b_r_middle3 X=247.527 Y=12.455 Z=27.875 P=64.145676 Y=0.895410 R=71.394699
r_middle_finger_tip_marker X=246.352 Y=12.371 Z=25.671 P=64.145691 Y=0.895382 R=71.394676
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=14.671649 Y=14.528049 R=78.597794
b_r_ring2 X=249.673 Y=10.072 Z=30.359 P=49.431900 Y=-2.830578 R=60.105595
b_r_ring3 X=247.947 Y=10.157 Z=28.341 P=50.800735 Y=-17.477985 R=47.826054
r_ring_finger_tip_marker X=246.367 Y=10.521 Z=26.520 P=50.800735 Y=-17.478008 R=47.826065
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=19.973549 Y=2.042033 R=84.946297
b_r_pinky2 X=251.519 Y=9.156 Z=29.581 P=30.389477 Y=10.208759 R=78.197281
b_r_pinky3 X=249.795 Y=8.846 Z=28.554 P=31.807800 Y=-3.840465 R=71.589874
r_pinky_finger_tip_marker X=247.870 Y=8.960 Z=27.503 P=31.807800 Y=-3.840465 R=71.589867
