Right
026_sponge X=286.693 Y=4.387 Z=123.443 P=1.303289 Y=53.783607 R=67.689545
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=25.701216 Y=140.561218 R=138.376770
b_r_thumb1 X=265.931 Y=10.291 Z=29.767 P=46.494049 Y=153.498459 R=176.198090
b_r_thumb2 X=267.934 Y=9.292 Z=27.408 P=35.019535 Y=166.230087 R=163.711426
b_r_thumb3 X=270.622 Y=8.633 Z=25.469 P=47.471317 Y=155.903336 R=176.435135
r_thumb_finger_tip_marker X=272.148 Y=7.843 Z=23.707 P=47.471329 Y=155.903366 R=176.435135
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=1.656280 Y=-175.129974 R=97.253197
b_r_index2 X=275.571 Y=10.729 Z=31.159 P=13.864819 Y=-173.157639 R=91.449219
b_r_index3 X=277.914 Y=11.010 Z=30.576 P=36.695789 Y=-167.852600 R=88.923210
r_index_finger_tip_marker X=279.720 Y=11.431 Z=29.322 P=36.695789 Y=-167.852554 R=88.923225
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=21.845798 Y=-168.471390 R=89.145943
b_r_middle2 X=275.663 Y=13.386 Z=30.148 P=49.039249 Y=-169.537857 R=85.633240
b_r_middle3 X=277.439 Y=13.714 Z=28.068 P=71.915215 Y=166.324417 R=51.883373
r_middle_finger_tip_marker X=278.280 Y=13.606 Z=25.716 P=71.915215 Y=166.324387 R=51.883358
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=28.515867 Y=-160.424881 R=79.028976
b_r_ring2 X=274.293 Y=15.657 Z=29.485 P=57.372044 Y=-177.541458 R=58.351585
b_r_ring3 X=275.724 Y=15.718 Z=27.247 P=64.718063 Y=95.772148 R=-22.461468
r_ring_finger_tip_marker X=275.959 Y=14.775 Z=25.011 P=64.718025 Y=95.772148 R=-22.461445
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=50.568970 Y=-169.583542 R=83.398125
b_r_pinky2 X=271.904 Y=16.620 Z=28.258 P=65.641396 Y=37.236450 R=-83.450836
b_r_pinky3 X=271.237 Y=16.114 Z=26.408 P=31.798012 Y=44.387276 R=-75.637924
r_pinky_finger_tip_marker X=269.985 Y=14.813 Z=25.158 P=31.798012 Y=44.387276 R=-75.637924
