Right
026_sponge X=286.054 Y=3.806 Z=124.833 P=-67.239365 Y=28.068258 R=68.384865
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=30.355804 Y=147.143143 R=144.300934
b_r_thumb1 X=266.003 Y=10.550 Z=29.588 P=51.202927 Y=164.517319 R=-174.107803
b_r_thumb2 X=267.966 Y=10.006 Z=27.055 P=38.545647 Y=177.807724 R=174.378983
b_r_thumb3 X=270.607 Y=9.905 Z=24.949 P=52.702522 Y=164.272034 R=-175.905777
r_thumb_finger_tip_marker X=272.058 Y=9.385 Z=23.029 P=52.702515 Y=164.272049 R=-175.905777
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=27.033176 Y=-175.257568 R=98.434547
b_r_index2 X=275.161 Y=10.686 Z=29.544 P=47.321995 Y=-171.647217 R=94.474937
b_r_index3 X=276.791 Y=10.926 Z=27.758 P=42.034519 Y=-164.073883 R=95.760834
r_index_finger_tip_marker X=278.450 Y=11.419 Z=26.338 P=42.034519 Y=-164.073837 R=95.760841
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=32.133579 Y=-172.015411 R=88.574867
b_r_middle2 X=275.359 Y=13.094 Z=29.462 P=58.473274 Y=-173.737289 R=84.450912
b_r_middle3 X=276.791 Y=13.252 Z=27.114 P=50.200958 Y=-171.561005 R=77.054802
r_middle_finger_tip_marker X=278.442 Y=13.553 Z=25.262 P=50.200951 Y=-171.561035 R=77.054779
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=37.301643 Y=-166.832825 R=77.097572
b_r_ring2 X=274.085 Y=15.215 Z=28.984 P=65.910736 Y=166.718826 R=46.946041
b_r_ring3 X=275.140 Y=14.966 Z=26.558 P=66.212944 Y=102.723091 R=-13.833405
r_ring_finger_tip_marker X=275.490 Y=14.099 Z=24.306 P=66.212929 Y=102.723083 R=-13.833395
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=81.738762 Y=175.320297 R=62.371803
b_r_pinky2 X=270.424 Y=16.232 Z=27.591 P=10.890135 Y=34.479965 R=-96.771210
b_r_pinky3 X=268.780 Y=15.103 Z=27.207 P=-30.580538 Y=49.923145 R=-96.805389
r_pinky_finger_tip_marker X=267.532 Y=13.604 Z=28.216 P=-30.580538 Y=49.923141 R=-96.805389
