Left
026_sponge X=287.004 Y=-5.484 Z=126.917 P=6.391848 Y=61.635220 R=-91.980270
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=23.520781 Y=-42.030685 R=136.079422
b_r_thumb1 X=258.495 Y=15.339 Z=29.853 P=53.196987 Y=-32.414921 R=172.053543
b_r_thumb2 X=256.851 Y=16.383 Z=27.249 P=44.679749 Y=0.372990 R=175.548615
b_r_thumb3 X=254.448 Y=16.368 Z=24.873 P=47.188793 Y=32.513168 R=-140.808105
r_thumb_finger_tip_marker X=252.981 Y=15.577 Z=23.060 P=47.188816 Y=32.513203 R=-140.808105
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=9.322081 Y=6.000062 R=97.608818
b_r_index2 X=248.873 Y=14.729 Z=30.654 P=36.238094 Y=8.808928 R=92.464958
b_r_index3 X=246.936 Y=14.428 Z=29.217 P=49.003227 Y=16.691135 R=93.286278
r_index_finger_tip_marker X=245.462 Y=13.962 Z=27.598 P=49.003216 Y=16.691168 R=93.286285
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=29.395426 Y=7.511459 R=88.512611
b_r_middle2 X=248.922 Y=12.449 Z=29.639 P=68.080849 Y=2.687532 R=81.656601
b_r_middle3 X=247.895 Y=12.400 Z=27.083 P=81.486534 Y=-45.507328 R=23.176092
r_middle_finger_tip_marker X=247.541 Y=12.594 Z=24.616 P=81.486450 Y=-45.507347 R=23.176039
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=33.012657 Y=12.929878 R=77.475853
b_r_ring2 X=250.138 Y=10.287 Z=29.222 P=62.818504 Y=-10.712879 R=50.557354
b_r_ring3 X=248.945 Y=10.512 Z=26.858 P=65.845055 Y=-75.196823 R=-10.055795
r_ring_finger_tip_marker X=248.554 Y=11.388 Z=24.617 P=65.845039 Y=-75.196854 R=-10.055794
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=26.728468 Y=-3.242342 R=83.621277
b_r_pinky2 X=251.665 Y=9.414 Z=29.249 P=43.991062 Y=3.269989 R=76.292397
b_r_pinky3 X=250.206 Y=9.331 Z=27.838 P=60.746536 Y=-30.150797 R=50.961018
r_pinky_finger_tip_marker X=249.168 Y=9.868 Z=25.979 P=60.746536 Y=-30.150797 R=50.961018
