Left
026_sponge X=289.499 Y=-7.816 Z=123.181 P=3.839946 Y=56.681557 R=83.275780
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=30.225779 Y=-33.065727 R=144.111267
b_r_thumb1 X=258.388 Y=14.985 Z=29.593 P=55.427929 Y=-15.072881 R=-173.430679
b_r_thumb2 X=256.607 Y=15.465 Z=26.916 P=40.967964 Y=-14.911682 R=166.293930
b_r_thumb3 X=254.141 Y=16.121 Z=24.701 P=51.855358 Y=-44.440712 R=163.874039
r_thumb_finger_tip_marker X=253.060 Y=17.293 Z=22.824 P=51.855358 Y=-44.440689 R=163.874023
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=8.548685 Y=10.087300 R=98.125137
b_r_index2 X=248.903 Y=14.463 Z=30.704 P=27.767197 Y=12.696704 R=92.788048
b_r_index3 X=246.805 Y=13.990 Z=29.572 P=40.283615 Y=19.580420 R=92.120476
r_index_finger_tip_marker X=245.143 Y=13.372 Z=28.205 P=40.283604 Y=19.580446 R=92.120476
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=25.428589 Y=14.031519 R=89.542831
b_r_middle2 X=248.869 Y=11.997 Z=29.902 P=57.855927 Y=12.510896 R=85.553741
b_r_middle3 X=247.438 Y=11.680 Z=27.570 P=74.280731 Y=-7.987468 R=55.014683
r_middle_finger_tip_marker X=246.683 Y=11.694 Z=25.187 P=74.280746 Y=-7.987518 R=55.014656
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=25.457535 Y=20.376242 R=79.327332
b_r_ring2 X=250.024 Y=9.792 Z=29.671 P=57.067101 Y=2.067137 R=58.037632
b_r_ring3 X=248.580 Y=9.740 Z=27.440 P=65.624466 Y=-45.584152 R=14.267674
r_ring_finger_tip_marker X=247.753 Y=10.353 Z=25.231 P=65.624451 Y=-45.584183 R=14.267673
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=15.192758 Y=3.937987 R=85.532211
b_r_pinky2 X=251.447 Y=9.056 Z=29.826 P=53.420345 Y=1.689192 R=70.057190
b_r_pinky3 X=250.237 Y=9.020 Z=28.195 P=50.851036 Y=-16.817839 R=55.985973
r_pinky_finger_tip_marker X=248.813 Y=9.400 Z=26.567 P=50.851036 Y=-16.817831 R=55.985962
