Right
027_skillet X=291.240 Y=12.466 Z=135.260 P=-23.162727 Y=32.011776 R=73.147446
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=28.003370 Y=143.607330 R=141.104126
b_r_thumb1 X=265.968 Y=10.412 Z=29.678 P=39.356380 Y=158.451508 R=179.720718
b_r_thumb2 X=268.306 Y=9.488 Z=27.616 P=29.725548 Y=-178.495529 R=171.496918
b_r_thumb3 X=271.239 Y=9.565 Z=25.940 P=38.500507 Y=-161.105423 R=-158.606339
r_thumb_finger_tip_marker X=273.114 Y=10.080 Z=24.429 P=38.500519 Y=-161.105423 R=-158.606354
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=30.192345 Y=178.588715 R=97.703560
b_r_index2 X=275.071 Y=10.326 Z=29.361 P=79.042236 Y=-168.247147 R=102.926987
b_r_index3 X=275.523 Y=10.420 Z=26.975 P=44.887856 Y=-3.752113 R=-99.741432
r_index_finger_tip_marker X=274.013 Y=10.566 Z=25.329 P=44.887856 Y=-3.752146 R=-99.741455
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=46.535358 Y=-171.571320 R=88.511612
b_r_middle2 X=274.680 Y=13.022 Z=28.630 P=54.927509 Y=15.189079 R=-86.368752
b_r_middle3 X=273.152 Y=12.608 Z=26.375 P=49.031136 Y=17.444109 R=-95.056236
r_middle_finger_tip_marker X=271.658 Y=12.181 Z=24.418 P=49.031128 Y=17.444136 R=-95.056213
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=48.187035 Y=-168.967178 R=75.008575
b_r_ring2 X=273.616 Y=15.006 Z=28.440 P=66.324203 Y=66.345535 R=-51.277508
b_r_ring3 X=273.188 Y=14.029 Z=26.007 P=38.745090 Y=51.584805 R=-64.759277
r_ring_finger_tip_marker X=272.105 Y=12.591 Z=24.362 P=38.745075 Y=51.584805 R=-64.759239
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=45.194405 Y=178.831848 R=81.852722
b_r_pinky2 X=272.149 Y=16.224 Z=28.451 P=82.697968 Y=71.667152 R=-37.935345
b_r_pinky3 X=272.068 Y=15.979 Z=26.436 P=67.072578 Y=66.822151 R=-41.637413
r_pinky_finger_tip_marker X=271.853 Y=15.204 Z=24.393 P=67.072594 Y=66.822151 R=-41.637440
