Left
027_skillet X=286.104 Y=8.282 Z=105.804 P=-8.770468 Y=-167.488022 R=7.489325
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=25.995829 Y=-39.068237 R=138.707031
b_r_thumb1 X=258.453 Y=15.221 Z=29.755 P=37.460377 Y=-25.150932 R=176.415298
b_r_thumb2 X=256.117 Y=16.318 Z=27.778 P=27.322586 Y=-9.374635 R=163.859940
b_r_thumb3 X=253.155 Y=16.807 Z=26.227 P=39.809452 Y=-9.964643 R=-176.721619
r_thumb_finger_tip_marker X=251.274 Y=17.246 Z=24.699 P=39.809467 Y=-9.964632 R=-176.721619
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=46.377666 Y=2.519232 R=100.386337
b_r_index2 X=249.981 Y=15.005 Z=28.523 P=85.430092 Y=71.326088 R=161.026520
b_r_index3 X=249.919 Y=14.821 Z=26.100 P=55.521290 Y=169.673508 R=-107.242950
r_index_finger_tip_marker X=251.082 Y=14.550 Z=24.206 P=55.521282 Y=169.673462 R=-107.242989
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=69.339272 Y=9.100512 R=87.966286
b_r_middle2 X=251.134 Y=12.698 Z=27.729 P=65.523895 Y=-164.619019 R=-88.326752
b_r_middle3 X=252.235 Y=13.001 Z=25.222 P=67.873199 Y=-163.367157 R=-96.895332
r_middle_finger_tip_marker X=253.052 Y=13.198 Z=22.868 P=67.873199 Y=-163.367126 R=-96.895302
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=70.631638 Y=3.911784 R=63.469788
b_r_ring2 X=252.035 Y=10.930 Z=27.668 P=57.046162 Y=-126.541145 R=-71.554741
b_r_ring3 X=252.895 Y=12.091 Z=25.438 P=36.641529 Y=-125.796997 R=-72.239655
r_ring_finger_tip_marker X=253.961 Y=13.611 Z=23.857 P=36.641525 Y=-125.796982 R=-72.239632
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=74.956848 Y=3.651941 R=73.528877
b_r_pinky2 X=253.609 Y=9.208 Z=27.664 P=42.320415 Y=-150.045151 R=-94.909126
b_r_pinky3 X=254.910 Y=9.958 Z=26.296 P=27.193659 Y=-136.402893 R=-85.797340
r_pinky_finger_tip_marker X=256.259 Y=11.289 Z=25.188 P=27.193659 Y=-136.402893 R=-85.797348
