Left
027_skillet X=303.742 Y=-6.515 Z=126.932 P=41.398987 Y=-162.384003 R=91.488655
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=21.341150 Y=-44.391804 R=134.008347
b_r_thumb1 X=258.534 Y=15.433 Z=29.940 P=38.675610 Y=-33.413002 R=169.757782
b_r_thumb2 X=256.415 Y=16.830 Z=27.908 P=34.533607 Y=2.695652 R=169.761795
b_r_thumb3 X=253.634 Y=16.700 Z=25.993 P=44.303402 Y=18.210266 R=-160.307190
r_thumb_finger_tip_marker X=251.906 Y=16.257 Z=24.295 P=44.303413 Y=18.210283 R=-160.307205
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=44.406029 Y=9.305191 R=101.322937
b_r_index2 X=249.921 Y=14.682 Z=28.614 P=34.303097 Y=-176.898163 R=-96.070168
b_r_index3 X=251.926 Y=14.790 Z=27.245 P=4.344533 Y=-176.878021 R=-101.104614
r_index_finger_tip_marker X=254.148 Y=14.863 Z=26.981 P=4.344519 Y=-176.878052 R=-101.104614
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=72.032143 Y=13.296807 R=89.197220
b_r_middle2 X=251.341 Y=12.633 Z=27.662 P=5.943712 Y=-163.025574 R=-90.003372
b_r_middle3 X=253.962 Y=13.433 Z=27.377 P=-14.110234 Y=-158.321640 R=-102.147041
r_middle_finger_tip_marker X=256.256 Y=14.286 Z=27.884 P=-14.110228 Y=-158.321625 R=-102.147041
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=73.649445 Y=-7.895720 R=55.432102
b_r_ring2 X=252.237 Y=11.169 Z=27.605 P=8.139406 Y=-143.801025 R=-80.767845
b_r_ring3 X=254.360 Y=12.723 Z=27.229 P=-26.146734 Y=-141.944824 R=-82.573486
r_ring_finger_tip_marker X=256.139 Y=14.109 Z=28.155 P=-26.146742 Y=-141.944794 R=-82.573486
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=82.294769 Y=-119.708405 R=-40.322681
b_r_pinky2 X=254.609 Y=9.617 Z=27.586 P=5.428224 Y=-159.291763 R=-96.878288
b_r_pinky3 X=256.500 Y=10.332 Z=27.394 P=-46.487591 Y=-140.340988 R=-100.834183
r_pinky_finger_tip_marker X=257.730 Y=11.354 Z=28.899 P=-46.487591 Y=-140.340988 R=-100.834198
