Right
029_plate X=287.407 Y=0.743 Z=127.707 P=14.224114 Y=-66.374168 R=-121.728035
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=33.276394 Y=152.368958 R=149.074661
b_r_thumb1 X=266.042 Y=10.750 Z=29.481 P=28.202621 Y=167.392792 R=-172.469940
b_r_thumb2 X=268.838 Y=10.124 Z=27.944 P=15.550263 Y=176.490875 R=170.049072
b_r_thumb3 X=272.088 Y=9.925 Z=27.038 P=29.427896 Y=165.699524 R=-174.636993
r_thumb_finger_tip_marker X=274.164 Y=9.284 Z=25.880 P=29.427902 Y=165.699539 R=-174.636993
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=49.579456 Y=-159.110947 R=104.492203
b_r_index2 X=274.091 Y=11.284 Z=28.381 P=83.142639 Y=-77.478645 R=177.193741
b_r_index3 X=274.028 Y=11.567 Z=25.968 P=76.947670 Y=-87.861557 R=162.847702
r_index_finger_tip_marker X=274.097 Y=12.132 Z=23.802 P=76.947655 Y=-87.861565 R=162.847717
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=76.282120 Y=-162.894211 R=90.583969
b_r_middle2 X=272.732 Y=12.889 Z=27.575 P=83.091682 Y=15.279397 R=-94.071365
b_r_middle3 X=272.412 Y=12.802 Z=24.840 P=83.837875 Y=21.171349 R=-98.086357
r_middle_finger_tip_marker X=272.246 Y=12.787 Z=22.347 P=83.837814 Y=21.171429 R=-98.086166
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=69.047935 Y=173.094360 R=60.697906
b_r_ring2 X=272.448 Y=14.341 Z=27.705 P=68.187057 Y=60.424644 R=-56.871498
b_r_ring3 X=271.961 Y=13.482 Z=25.238 P=53.702141 Y=58.488682 R=-59.700043
r_ring_finger_tip_marker X=271.323 Y=12.328 Z=23.188 P=53.702133 Y=58.488697 R=-59.700024
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=83.367226 Y=150.410904 R=43.323296
b_r_pinky2 X=270.293 Y=16.092 Z=27.579 P=19.686947 Y=27.217607 R=-96.130424
b_r_pinky3 X=268.592 Y=15.218 Z=26.895 P=-21.693602 Y=41.050049 R=-93.616989
r_pinky_finger_tip_marker X=267.033 Y=13.837 Z=27.591 P=-21.693602 Y=41.050045 R=-93.616989
