Left
029_plate X=294.838 Y=-8.457 Z=137.756 P=-27.394985 Y=35.216957 R=-109.515526
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=35.314140 Y=-23.158773 R=153.196350
b_r_thumb1 X=258.323 Y=14.611 Z=29.408 P=33.759922 Y=-7.215544 R=-167.121964
b_r_thumb2 X=255.642 Y=14.950 Z=27.601 P=20.488552 Y=2.882176 R=176.519775
b_r_thumb3 X=252.480 Y=14.791 Z=26.418 P=34.664158 Y=-2.704144 R=-166.521881
r_thumb_finger_tip_marker X=250.442 Y=15.003 Z=25.053 P=34.664169 Y=-2.704131 R=-166.521881
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=42.900185 Y=-10.975787 R=97.164085
b_r_index2 X=249.868 Y=15.649 Z=28.686 P=52.158989 Y=-7.961942 R=93.359749
b_r_index3 X=248.391 Y=15.855 Z=26.767 P=55.118137 Y=1.870305 R=97.005020
r_index_finger_tip_marker X=247.027 Y=15.794 Z=24.993 P=55.118137 Y=1.870350 R=97.005066
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=66.102036 Y=-3.346270 R=84.708885
b_r_middle2 X=250.894 Y=13.039 Z=27.821 P=76.734711 Y=-165.958298 R=-80.027809
b_r_middle3 X=251.507 Y=13.192 Z=25.139 P=79.440414 Y=-161.542847 R=-85.381729
r_middle_finger_tip_marker X=251.840 Y=13.281 Z=22.664 P=79.440437 Y=-161.542786 R=-85.381676
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=63.992920 Y=2.294780 R=67.323196
b_r_ring2 X=251.616 Y=10.950 Z=27.842 P=73.861649 Y=-100.515938 R=-40.456543
b_r_ring3 X=251.751 Y=11.676 Z=25.290 P=61.553688 Y=-107.912148 R=-48.424633
r_ring_finger_tip_marker X=251.987 Y=12.690 Z=23.085 P=61.553680 Y=-107.912117 R=-48.424603
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=53.191505 Y=4.147321 R=81.576027
b_r_pinky2 X=252.569 Y=9.126 Z=28.171 P=81.688698 Y=3.769493 R=68.519600
b_r_pinky3 X=252.276 Y=9.107 Z=26.161 P=75.622299 Y=-76.797218 R=-10.018677
r_pinky_finger_tip_marker X=252.030 Y=9.611 Z=24.039 P=75.622284 Y=-76.797211 R=-10.018684
