Right
029_plate X=303.909 Y=-19.140 Z=124.034 P=-9.624290 Y=166.363754 R=-68.010101
b_r_wrist X=295.765 Y=-46.067 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=297.772 Y=-47.117 Z=30.844 P=31.253462 Y=148.634460 R=145.657852
b_r_thumb1 X=299.586 Y=-48.223 Z=29.555 P=49.718616 Y=166.620132 R=-172.392532
b_r_thumb2 X=301.631 Y=-48.709 Z=27.075 P=36.152908 Y=172.054749 R=170.685120
b_r_thumb3 X=304.333 Y=-49.086 Z=25.081 P=48.912930 Y=171.044662 R=-170.298584
r_thumb_finger_tip_marker X=305.948 Y=-49.455 Z=23.260 P=48.912930 Y=171.044678 R=-170.298584
b_r_index1 X=305.364 Y=-48.423 Z=31.268 P=45.827473 Y=-172.977432 R=101.158607
b_r_index2 X=307.987 Y=-48.100 Z=28.548 P=60.953411 Y=-166.787354 R=100.060020
b_r_index3 X=309.136 Y=-47.830 Z=26.423 P=46.817818 Y=-160.727737 R=101.186073
r_index_finger_tip_marker X=310.651 Y=-47.291 Z=24.865 P=46.817802 Y=-160.727707 R=101.186081
b_r_middle1 X=305.329 Y=-46.241 Z=31.746 P=71.697693 Y=-173.926819 R=86.817604
b_r_middle2 X=306.670 Y=-46.098 Z=27.670 P=53.817970 Y=13.119504 R=-88.566757
b_r_middle3 X=305.086 Y=-46.467 Z=25.446 P=29.750341 Y=18.542162 R=-97.031364
r_middle_finger_tip_marker X=303.068 Y=-47.097 Z=24.113 P=29.750349 Y=18.542179 R=-97.031372
b_r_ring1 X=304.634 Y=-44.322 Z=31.347 P=80.940056 Y=144.744919 R=24.250462
b_r_ring2 X=305.136 Y=-44.676 Z=27.496 P=6.419053 Y=40.111305 R=-83.130234
b_r_ring3 X=303.116 Y=-46.377 Z=27.199 P=-45.796539 Y=41.709969 R=-85.597038
r_ring_finger_tip_marker X=301.754 Y=-47.573 Z=28.830 P=-45.796535 Y=41.709984 R=-85.597031
b_r_pinky0 X=299.173 Y=-43.767 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=303.555 Y=-42.563 Z=30.631 P=84.756294 Y=108.590950 R=3.940660
b_r_pinky2 X=303.644 Y=-42.829 Z=27.572 P=3.305436 Y=25.918131 R=-96.794533
b_r_pinky3 X=301.821 Y=-43.715 Z=27.454 P=-42.996521 Y=43.993797 R=-100.387299
r_pinky_finger_tip_marker X=300.608 Y=-44.889 Z=28.859 P=-42.996513 Y=43.993801 R=-100.387306
