Left
029_plate X=292.868 Y=-16.593 Z=128.889 P=23.171518 Y=173.892303 R=161.916916
b_r_wrist X=295.765 Y=-46.067 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=293.758 Y=-45.017 Z=30.844 P=30.961998 Y=-31.859613 R=145.207779
b_r_thumb1 X=291.948 Y=-43.892 Z=29.566 P=51.463932 Y=-13.803368 R=-172.641541
b_r_thumb2 X=289.981 Y=-43.409 Z=27.023 P=38.634083 Y=11.338655 R=-176.094803
b_r_thumb3 X=287.393 Y=-43.928 Z=24.913 P=54.149643 Y=2.517915 R=-163.047760
r_thumb_finger_tip_marker X=285.921 Y=-43.874 Z=22.940 P=54.149639 Y=2.517932 R=-163.047760
b_r_index1 X=286.166 Y=-43.710 Z=31.268 P=48.495407 Y=19.444141 R=103.965141
b_r_index2 X=283.796 Y=-44.547 Z=28.428 P=68.654602 Y=31.684395 R=108.400063
b_r_index3 X=283.043 Y=-45.012 Z=26.164 P=59.638653 Y=38.757679 R=110.813644
r_index_finger_tip_marker X=282.084 Y=-45.770 Z=24.288 P=59.638668 Y=38.757732 R=110.813713
b_r_middle1 X=286.200 Y=-45.893 Z=31.746 P=62.988705 Y=5.049564 R=87.225815
b_r_middle2 X=284.258 Y=-46.064 Z=27.921 P=77.989784 Y=-162.328979 R=-82.516396
b_r_middle3 X=284.804 Y=-45.890 Z=25.226 P=86.728691 Y=11.933006 R=83.174202
r_middle_finger_tip_marker X=284.567 Y=-45.986 Z=22.740 P=86.728813 Y=11.932754 R=83.173950
b_r_ring1 X=286.895 Y=-47.812 Z=31.347 P=54.890755 Y=2.911251 R=71.402496
b_r_ring2 X=284.655 Y=-47.926 Z=28.157 P=74.248688 Y=-89.016464 R=-24.329832
b_r_ring3 X=284.643 Y=-47.205 Z=25.599 P=68.578224 Y=-75.231270 R=-12.098190
r_ring_finger_tip_marker X=284.284 Y=-46.437 Z=23.313 P=68.578217 Y=-75.231277 R=-12.098187
b_r_pinky0 X=292.357 Y=-48.366 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=287.975 Y=-49.571 Z=30.631 P=46.081032 Y=0.068835 R=81.954102
b_r_pinky2 X=285.844 Y=-49.574 Z=28.418 P=71.481461 Y=-142.433365 R=-73.232147
b_r_pinky3 X=286.355 Y=-49.180 Z=26.492 P=26.983494 Y=-145.957458 R=-73.279022
r_pinky_finger_tip_marker X=287.900 Y=-48.066 Z=25.400 P=26.983494 Y=-145.957443 R=-73.279030
