Left
030_fork X=296.296 Y=7.356 Z=112.204 P=-15.420961 Y=-130.980087 R=102.471886
b_r_wrist X=303.096 Y=-14.216 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=301.090 Y=-13.166 Z=30.844 P=20.022324 Y=-45.726135 R=132.848450
b_r_thumb1 X=299.460 Y=-11.494 Z=29.994 P=31.089436 Y=-33.734509 R=168.439514
b_r_thumb2 X=297.144 Y=-9.948 Z=28.315 P=30.452185 Y=6.703947 R=167.414612
b_r_thumb3 X=294.251 Y=-10.288 Z=26.602 P=35.106731 Y=39.719753 R=-153.919464
r_thumb_finger_tip_marker X=292.619 Y=-11.486 Z=25.200 P=35.106731 Y=39.719769 R=-153.919479
b_r_index1 X=293.497 Y=-11.860 Z=31.268 P=55.728668 Y=20.046021 R=106.233070
b_r_index2 X=291.491 Y=-12.592 Z=28.134 P=15.327702 Y=-169.707474 R=-97.369530
b_r_index3 X=293.797 Y=-12.173 Z=27.492 P=-33.124054 Y=-164.305130 R=-103.933960
r_index_finger_tip_marker X=295.663 Y=-11.704 Z=28.636 P=-33.124065 Y=-164.305145 R=-103.933945
b_r_middle1 X=293.532 Y=-14.042 Z=31.746 P=68.935417 Y=9.940106 R=88.242897
b_r_middle2 X=292.012 Y=-14.309 Z=27.740 P=10.955022 Y=-165.392288 R=-89.448631
b_r_middle3 X=294.629 Y=-13.627 Z=27.216 P=-16.256416 Y=-159.458939 R=-102.220558
r_middle_finger_tip_marker X=296.920 Y=-12.826 Z=27.815 P=-16.256416 Y=-159.458923 R=-102.220558
b_r_ring1 X=294.227 Y=-15.962 Z=31.347 P=71.543274 Y=-1.996511 R=60.263939
b_r_ring2 X=292.993 Y=-15.919 Z=27.648 P=22.659029 Y=-140.253418 R=-79.528748
b_r_ring3 X=294.879 Y=-14.351 Z=26.624 P=-37.505241 Y=-143.729248 R=-81.056961
r_ring_finger_tip_marker X=296.515 Y=-13.151 Z=27.976 P=-37.505249 Y=-143.729233 R=-81.056961
b_r_pinky0 X=299.689 Y=-16.516 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=295.306 Y=-17.721 Z=30.631 P=83.361488 Y=-115.759926 R=-42.455856
b_r_pinky2 X=295.461 Y=-17.401 Z=27.579 P=-2.737567 Y=-152.083679 R=-98.122765
b_r_pinky3 X=297.253 Y=-16.451 Z=27.676 P=-54.342896 Y=-127.768135 R=-107.625092
r_pinky_finger_tip_marker X=298.108 Y=-15.370 Z=29.386 P=-54.342896 Y=-127.768120 R=-107.625107
