Right
030_fork X=298.130 Y=-3.506 Z=124.974 P=-40.183670 Y=-132.469223 R=151.592331
b_r_wrist X=303.096 Y=-14.216 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=305.103 Y=-15.266 Z=30.844 P=30.777889 Y=147.833282 R=144.928314
b_r_thumb1 X=306.911 Y=-16.403 Z=29.573 P=44.761898 Y=164.601135 R=-174.474228
b_r_thumb2 X=309.136 Y=-17.016 Z=27.283 P=29.915428 Y=163.368301 R=164.457916
b_r_thumb3 X=311.943 Y=-17.854 Z=25.598 P=42.285496 Y=148.028915 R=174.799911
r_thumb_finger_tip_marker X=313.479 Y=-18.926 Z=24.000 P=42.285511 Y=148.028931 R=174.799896
b_r_index1 X=312.696 Y=-16.573 Z=31.268 P=66.342514 Y=-158.672501 R=111.708199
b_r_index2 X=314.113 Y=-16.019 Z=27.794 P=76.774063 Y=-136.851257 R=126.446426
b_r_index3 X=314.519 Y=-15.639 Z=25.428 P=66.110283 Y=-137.036530 R=122.336563
r_index_finger_tip_marker X=315.271 Y=-14.980 Z=23.425 P=66.110275 Y=-137.036514 R=122.336617
b_r_middle1 X=312.661 Y=-14.390 Z=31.746 P=74.673111 Y=-177.345154 R=85.210236
b_r_middle2 X=313.795 Y=-14.338 Z=27.606 P=88.288101 Y=45.329830 R=-54.715805
b_r_middle3 X=313.737 Y=-14.396 Z=24.852 P=85.638557 Y=40.623463 R=-69.569954
r_middle_finger_tip_marker X=313.688 Y=-14.452 Z=22.354 P=85.638557 Y=40.623680 R=-69.569771
b_r_ring1 X=311.966 Y=-12.471 Z=31.347 P=70.996567 Y=176.073792 R=60.010326
b_r_ring2 X=313.233 Y=-12.558 Z=27.660 P=79.131256 Y=117.356796 R=-5.299585
b_r_ring3 X=313.463 Y=-13.003 Z=25.050 P=72.276199 Y=115.366356 R=-8.152973
r_ring_finger_tip_marker X=313.901 Y=-13.564 Z=22.718 P=72.276169 Y=115.366356 R=-8.152963
b_r_pinky0 X=306.504 Y=-11.917 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=310.887 Y=-10.712 Z=30.631 P=64.935783 Y=-173.266663 R=79.319168
b_r_pinky2 X=312.179 Y=-10.559 Z=27.848 P=87.886208 Y=-142.369186 R=98.043777
b_r_pinky3 X=312.238 Y=-10.514 Z=25.818 P=76.664146 Y=153.991928 R=34.776134
r_pinky_finger_tip_marker X=312.809 Y=-10.697 Z=23.706 P=76.664185 Y=153.991943 R=34.776157
