Right
030_fork X=302.078 Y=-8.766 Z=115.820 P=45.218342 Y=-161.746490 R=-106.402496
b_r_wrist X=303.096 Y=-14.216 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=305.103 Y=-15.266 Z=30.844 P=33.293919 Y=152.403992 R=149.106842
b_r_thumb1 X=306.944 Y=-16.229 Z=29.480 P=36.543423 Y=168.867126 R=-170.932159
b_r_thumb2 X=309.507 Y=-16.733 Z=27.544 P=21.164747 Y=163.858429 R=166.465881
b_r_thumb3 X=312.534 Y=-17.609 Z=26.324 P=34.116444 Y=145.196472 R=177.042648
r_thumb_finger_tip_marker X=314.183 Y=-18.876 Z=25.005 P=34.116455 Y=145.196487 R=177.042648
b_r_index1 X=312.696 Y=-16.573 Z=31.268 P=44.369843 Y=-174.091202 R=100.696091
b_r_index2 X=315.393 Y=-16.294 Z=28.616 P=59.345501 Y=-168.465652 R=99.049583
b_r_index3 X=316.607 Y=-16.046 Z=26.525 P=49.523396 Y=-161.040726 R=101.182671
r_index_finger_tip_marker X=318.053 Y=-15.539 Z=24.893 P=49.523399 Y=-161.040695 R=101.182709
b_r_middle1 X=312.661 Y=-14.390 Z=31.746 P=72.929146 Y=172.065521 R=81.908928
b_r_middle2 X=313.909 Y=-14.564 Z=27.642 P=79.976357 Y=14.985437 R=-77.445824
b_r_middle3 X=313.446 Y=-14.688 Z=24.929 P=84.971794 Y=27.113771 R=-74.866722
r_middle_finger_tip_marker X=313.356 Y=-14.734 Z=22.432 P=84.971794 Y=27.113911 R=-74.866577
b_r_ring1 X=311.966 Y=-12.471 Z=31.347 P=70.674126 Y=173.787354 R=59.427853
b_r_ring2 X=313.249 Y=-12.611 Z=27.667 P=72.625862 Y=70.245758 R=-49.709763
b_r_ring3 X=312.981 Y=-13.358 Z=25.131 P=68.196579 Y=85.695396 R=-36.018341
r_ring_finger_tip_marker X=313.036 Y=-14.160 Z=22.829 P=68.196541 Y=85.695404 R=-36.018295
b_r_pinky0 X=306.504 Y=-11.917 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=310.887 Y=-10.712 Z=30.631 P=73.298088 Y=-168.674469 R=77.514732
b_r_pinky2 X=311.752 Y=-10.539 Z=27.688 P=76.694321 Y=22.685097 R=-103.627426
b_r_pinky3 X=311.321 Y=-10.719 Z=25.712 P=79.040199 Y=84.423157 R=-42.863914
r_pinky_finger_tip_marker X=311.392 Y=-11.081 Z=23.547 P=79.040199 Y=84.423141 R=-42.863907
