Left
030_fork X=313.262 Y=-18.907 Z=127.022 P=-29.856142 Y=-157.345642 R=40.986565
b_r_wrist X=303.096 Y=-14.216 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=301.090 Y=-13.166 Z=30.844 P=29.779623 Y=-33.769424 R=143.473007
b_r_thumb1 X=299.297 Y=-11.967 Z=29.610 P=30.248037 Y=-18.517481 R=-178.250183
b_r_thumb2 X=296.633 Y=-11.075 Z=27.972 P=17.779766 Y=-10.495370 R=164.275589
b_r_thumb3 X=293.469 Y=-10.489 Z=26.940 P=30.316011 Y=-27.816576 R=176.506104
r_thumb_finger_tip_marker X=291.605 Y=-9.394 Z=25.762 P=30.316011 Y=-27.816572 R=176.506088
b_r_index1 X=293.497 Y=-11.860 Z=31.268 P=33.633778 Y=11.448847 R=100.104935
b_r_index2 X=290.402 Y=-12.487 Z=29.167 P=80.385979 Y=37.853649 R=117.747910
b_r_index3 X=290.082 Y=-12.736 Z=26.771 P=73.468353 Y=161.091812 R=-125.027534
r_index_finger_tip_marker X=290.596 Y=-13.000 Z=24.608 P=73.468353 Y=161.091751 R=-125.027618
b_r_middle1 X=293.532 Y=-14.042 Z=31.746 P=52.389290 Y=11.424480 R=89.026566
b_r_middle2 X=290.964 Y=-14.561 Z=28.345 P=33.337204 Y=-164.093979 R=-88.383392
b_r_middle3 X=293.177 Y=-13.930 Z=26.831 P=-22.336063 Y=-153.423874 R=-102.725075
r_middle_finger_tip_marker X=295.303 Y=-12.929 Z=27.683 P=-22.336063 Y=-153.423859 R=-102.725082
b_r_ring1 X=294.227 Y=-15.962 Z=31.347 P=56.748028 Y=15.473005 R=74.089172
b_r_ring2 X=292.166 Y=-16.532 Z=28.086 P=20.266979 Y=-137.930389 R=-77.826561
b_r_ring3 X=294.017 Y=-14.862 Z=27.165 P=-12.422174 Y=-137.603180 R=-79.273094
r_ring_finger_tip_marker X=295.794 Y=-13.233 Z=27.530 P=-12.422174 Y=-137.603165 R=-79.273079
b_r_pinky0 X=299.689 Y=-16.516 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=295.306 Y=-17.721 Z=30.631 P=48.720783 Y=14.100059 R=84.444588
b_r_pinky2 X=293.341 Y=-18.214 Z=28.322 P=38.135124 Y=-143.386719 R=-87.569305
b_r_pinky3 X=294.623 Y=-17.262 Z=27.068 P=-18.605543 Y=-138.092422 R=-82.891273
r_pinky_finger_tip_marker X=296.171 Y=-15.819 Z=27.656 P=-18.605543 Y=-138.092422 R=-82.891281
